Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
studies ^nns++++=studies
reported ^vbd+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
protease ^nn+++??+=protease
inhibitors ^nns++++=inhibitors
lopinavir ^nn+++??+=lopinavir
and ^cc++++=and
ritonavir ^nn+++??+=ritonavir,
, ^zz++++=EXTRAWORD
used ^xvbn+++xvbn+=used
as ^ql++++=as
Hiv ^np+++??+=HIV
antivirals ^nns+++??+=antivirals,
, ^zz++++=EXTRAWORD
also ^rb++++=also
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
have ^vbi++++=have
effects ^nns++++=effects
against ^in++++=against
Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
and ^cc++++=and
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
( ^zz++++=(Chu
chu ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Choy ^np+++??+=Choy
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
drugs ^nns++++=drugs
can ^md+pos+++=can
interact ^vb+++??+=interact
with ^in++++=with
the ^ati++++=the
protease ^nn+++??+=protease
3clpro ^cd++++=3CLpro;
; ^zz++++=EXTRAWORD
ritonavir ^nn+++??+=ritonavir
has ^vbz+hvz+vrb++=has
a ^at++++=a
higher ^jjr+atrb+++=higher
binding ^jj+atrb+++=binding
affinity ^nn++++=affinity
compared ^vbd+++xvbn+=compared
with ^in++++=with
lopinavir ^nn+++??+=lopinavir
( ^zz++++=(Nutho
nutho ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
