Most ^ql+emph+++=Most
triatomine ^vb+++??+=triatomine
bugs ^nns+++??+=bugs
( ^zz++++=(Hemiptera:
hemiptera ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Reduviidae ^np+++??+=Reduviidae:
: ^zz++++=EXTRAWORD
Triatominae ^np+++??+=Triatominae)
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
hematophagous ^nns+++??+=hematophagous,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Belminus ^np+++??+=Belminus
species ^nn++++=species
can ^md+pos+++=can
live ^vb++++=live
off ^in+ppvb+++=off
of ^in++++=of
cockroach ^nn++++=cockroach
hemolymph ^nn+++??+=hemolymph
to ^to++++=to
complete ^vbi++++=complete
their ^pp$+pp3+++=their
life ^nn++++=life
cycle ^nn++++=cycle.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
work ^nn++++=work
we ^pp1a+pp1+++=we
described ^vbd+++xvbn+=described
the ^ati++++=the
fixed ^jj+atrb++xvbn+=fixed
action ^nn++++=action
pattern ^nn++++=pattern
( ^zz++++=(FAP)
fap ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
employed ^vpsv++by+xvbn+=employed
by ^in++++=by
B ^zz++++=B.
. ^zz++++=EXTRAWORD
ferroae ^nn+++??+=ferroae
to ^to++++=to
identify ^vbi++++=identify,
, ^zz++++=EXTRAWORD
approach ^nn++++=approach
and ^cc++++=and
suck ^vb++++=suck
on ^in++++=on
a ^at++++=a
living ^jj+atrb++xvbg+=living
cockroach ^nn++++=cockroach.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Fap ^np+++??+=FAP
described ^vbd+++xvbn+=described
here ^rn+pl+++=here
is ^vbz+bez+aux++=is
composed ^vpsv++agls+xvbnx+=composed
of ^in++++=of
the ^ati++++=the
following ^jj+atrb++xvbg+=following
stereotyped ^jj+atrb+++=stereotyped
behaviors ^nns+++??+=behaviors:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
visual ^jj+atrb+++=visual
and ^cc+phrs+++=and/or
olfactory ^jj+atrb++??+=olfactory
detection ^nn++++=detection
of ^in++++=of
the ^ati++++=the
cockroach ^nn++++=cockroach,
, ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching,
, ^zz++++=EXTRAWORD
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
cautious ^jj+atrb+++=cautious
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
antennal ^nn+++??+=antennal
exploration ^nn++++=exploration,
, ^zz++++=EXTRAWORD
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
extension ^nn++++=extension
of ^in++++=of
the ^ati++++=the
proboscis ^nns+++??+=proboscis,
, ^zz++++=EXTRAWORD
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
piercing ^jj+++xvbg+=piercing
to ^in++++=to
sedate ^jj++++=sedate,
, ^zz++++=EXTRAWORD
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
away ^rp+pl+++=away
and ^cc++++=and
waiting ^vbg+++xvbg+=waiting
( ^zz++++=(post
post ^nn++++=EXTRAWORD
sedation ^nn+++??+=sedation
behavior ^nn++++=behavior),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
6 ^zz++++=6)
) ^zz++++=EXTRAWORD
second ^od++++=second
cautious ^jj+atrb+++=cautious
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
7 ^zz++++=7)
) ^zz++++=EXTRAWORD
extension ^nn++++=extension
of ^in++++=of
the ^ati++++=the
proboscis ^nns+++??+=proboscis,
, ^zz++++=EXTRAWORD
8 ^zz++++=8)
) ^zz++++=EXTRAWORD
piercing ^jj+++xvbg+=piercing
to ^to++++=to
suck ^vbi++++=suck
hemolymph ^nn+++??+=hemolymph.
. ^zz++++=EXTRAWORD
In ^in++++=In
order ^vb++++=order
to ^to+vcmp+++=to
identify ^vbi++++=identify
chemicals ^nns++++=chemicals
cues ^nns+++??+=cues
that ^tht+rel+subj++=that
could ^md+pos+++=could
elicit ^vb++++=elicit
such ^abl++++=such
Fap ^np+++??+=FAP,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
examined ^vbd+++xvbn+=examined
the ^ati++++=the
behavior ^nn++++=behavior
of ^in++++=of
B ^zz++++=B.
. ^zz++++=EXTRAWORD
corredori ^nn+++??+=corredori,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
ferroae ^nn+++??+=ferroae
and ^cc++++=and
B ^zz++++=B.
. ^zz++++=EXTRAWORD
herreri ^nn+++??+=herreri
in ^in++++=in
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
cockroaches ^nns+++??+=cockroaches
odor ^nn+++??+=odor,
, ^zz++++=EXTRAWORD
fresh ^jj+atrb+++=fresh
cockroach ^nn++++=cockroach
feces ^nns+++??+=feces
and ^cc++++=and
fresh ^jj+atrb+++=fresh
rodent ^nn++++=rodent
wastes ^nns++++=wastes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^ap++++=last
two ^cd++++=two
sources ^nns++++=sources
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
assumption ^nn++++=assumption
that ^tht+ncmp+++=that
abundant ^jj+atrb+++=abundant
chemicals ^nns++++=chemicals
near ^in+pl+++=near
host ^nn++++=host
refuges ^nns+++??+=refuges
could ^md+pos+++=could
serve ^vb++++=serve
as ^ql++++=as
cues ^nns+++??+=cues
for ^in++++=for
host ^nn++++=host
orientation ^nn++++=orientation.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
cockroach ^nn++++=cockroach
odor ^nn+++??+=odor
emanating ^vwbg+++xvbg+=emanating
