The ^ati++++=The
different ^jj+atrb+++=different
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
surveyed ^jj+atrb++xvbn+=surveyed
students ^nns++++=students
are ^vb+ber+vrb++=are
in ^in++++=in
direct ^jj+atrb+++=direct
consonance ^nn+++??+=consonance
with ^in++++=with
the ^ati++++=the
totality ^nn++++=totality
of ^in++++=of
the ^ati++++=the
Unae ^np+++??+=UNAE
university ^nn++++=university
population ^nn++++=population.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
view ^nn++++=view
of ^in++++=of
territorial ^jj+atrb+++=territorial
origin ^nn++++=origin
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
predominance ^nn+++??+=predominance
of ^in++++=of
the ^ati++++=the
provinces ^nns++++=provinces
of ^in++++=of
Azuay ^np+++??+=Azuay
( ^zz++++=(56%)
56 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Ca ^np++++=Ca
ar ^nn+++??+=ar
( ^zz++++=(24%).
24% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
seventeen ^cd++++=seventeen
provinces ^nns++++=provinces
represented ^vbd+++xvbn+=represented
contribute ^vb++++=contribute
with ^in++++=with
scarcely ^rb+down+++=scarcely
relevant ^jj+atrb+++=relevant
indexes ^nns++++=indexes
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
