Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
Ms ^nn++++=MS/NMOSD
patients ^nns++++=patients
infected ^vbd+++xvbn+=infected
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
treated ^vpsv++agls+xvbnx+=treated
following ^jj+atrb++xvbg+=following
updated ^nn+++??+=updated
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
guidelines ^nns+++??+=guidelines.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
current ^jj+atrb+++=current
management ^nn++++=management
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
is ^vbz+bez+vrb++=is
supportive ^nn+++??+=supportive.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
potential ^jj+atrb+++=potential
treatment ^nn++++=treatment
benefits ^nns++++=benefits
of ^in++++=of
antivirals ^nns+++??+=antivirals
are ^vb+ber+vrb++=are
not ^xnot++not++=not
evidence ^nn++++=evidence-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
chloroquine ^nn+++??+=chloroquine
derivatives ^nns++++=derivatives
or ^cc++++=or
remdesivir ^nn+++??+=remdesivir)
) ^zz++++=EXTRAWORD
and ^cc++++=and
data ^nns++++=data
regarding ^in++++=regarding
interactions ^nns++++=interactions
with ^in++++=with
Dmds ^np+++??+=DMDs
are ^vb+ber+vrb++=are
lacking ^jj+pred+++=lacking,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
not ^xnot++not++=not
recommend ^vb+vsua+++=recommend
their ^pp$+pp3+++=their
use ^nn++++=use.
. ^zz++++=EXTRAWORD
