Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
cladribine ^nn+++??+=cladribine
and ^cc++++=and
alemtuzumab ^nn+++??+=alemtuzumab
significantly ^rb++++=significantly
compromise ^nn++++=compromise
immune ^jj+atrb+++=immune
defenses ^nns+++??+=defenses
against ^in++++=against
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
studies ^nns++++=studies
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
omitting ^nn+++??+=omitting
a ^at++++=a
second ^od++++=second
dose ^nn++++=dose
of ^in++++=of
alemtuzumab ^nn+++??+=alemtuzumab
may ^md+pos+++=may
still ^rb+atrb+++=still
lead ^nn++++=lead
to ^in++++=to
significant ^jj+atrb+++=significant
disease ^nn++++=disease
control50 ^nn+++??+=control50.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
more ^ql++++=more
data ^nns++++=data
are ^vb+ber+vrb++=are
necessary ^jj+pred+++=necessary
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
can ^md+pos+++=can
affirm ^vb+++??+=affirm
this ^dt+dem+++=this
omission ^nn++++=omission
will ^md+prd+++=will
not ^xnot++not++=not
compromise ^nn++++=compromise
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
efficacy ^nn++++=efficacy
of ^in++++=of
the ^ati++++=the
therapy ^nn++++=therapy.
. ^zz++++=EXTRAWORD
