By ^in++++=By
applying ^xvbg+++xvbg+=applying
the ^ati++++=the
Law ^nn++++=Law
of ^in++++=of
Elitism ^np+++??+=Elitism
of ^in++++=of
Price ^nn++++=Price
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
identify ^vbi++++=identify
the ^ati++++=the
Elite ^nn++++=Elite
Group ^nn++++=Group
of ^in++++=of
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
that ^tht+vcmp+++=that
the ^ati++++=the
square ^jj+atrb+++=square
root ^nn++++=root
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
authors ^nns++++=authors
was ^vbd+bedz+vrb++=was
82 ^cd++++=82,
, ^zz++++=EXTRAWORD
a ^at++++=a
total ^nn++++=total
of ^in++++=of
authors ^nns++++=authors
representing ^vwbg+++xvbg+=representing
the ^ati++++=the
elite ^nn++++=elite
of ^in++++=of
the ^ati++++=the
studied ^jj+atrb++xvbn+=studied
area ^nn++++=area,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
their ^pp$+pp3+++=their
production ^nn++++=production
represents ^vbz++++=represents
66.1 ^cd++++=66.1%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
documents ^nns++++=documents
recovered ^vbd+++xvbn+=recovered,
, ^zz++++=EXTRAWORD
exceeding ^vbg+++xvbg+=exceeding
by ^in++++=by
far ^rb+pl+++=far
the ^ati++++=the
minimum ^nn++++=minimum
of ^in++++=of
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
Proposed ^vbd+vsua++xvbn+=Proposed
in ^in++++=in
the ^ati++++=the
Law ^nn++++=Law
of ^in++++=of
Elitism ^np+++??+=Elitism,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
weight ^nn++++=weight
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
productivity ^nn++++=productivity
index ^nn++++=index
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
very ^ql+amp+++=very
low ^jj++++=low
1.65 ^cd++++=1.65,
, ^zz++++=EXTRAWORD
largely ^rb++++=largely
as ^in++++=as
a ^at++++=a
consequence ^nn++++=consequence
of ^in++++=of
the ^ati++++=the
excessive ^jj+atrb+++=excessive
number ^nn++++=number
of ^in++++=of
occasional ^jj+atrb+++=occasional
authors ^nns++++=authors
10 ^cd++++=10.
. ^zz++++=EXTRAWORD
