Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
future ^jjb+atrb+++=future
designs ^nns++++=designs
should ^md+nec+++=should
reconsider ^vb+++??+=reconsider
the ^ati++++=the
best ^jjt+atrb+++=best
way ^nn++++=way
to ^in++++=to
triage ^nn+++??+=triage
and ^cc++++=and
complete ^jj+atrb+++=complete
initial ^jj+atrb+++=initial
assessment ^nn++++=assessment
of ^in++++=of
patients ^nns++++=patients
that ^tht+rel+subj++=that
present ^vb++++=present
symptoms ^nns++++=symptoms
related ^vbd+++xvbn+=related
to ^in++++=to
airborne ^jj+atrb+++=airborne
viruses ^nns++++=viruses
to ^in++++=to
minimize ^jj+atrb++??+=minimize
exposure ^nn++++=exposure
to ^in++++=to
areas ^nns++++=areas
with ^in++++=with
other ^ap++++=other
patient ^nn++++=patient
types ^nns++++=types
if ^cs+cnd+++=if
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
In ^in++++=In
planning ^xvbg+++xvbg+=planning
for ^in++++=for
the ^ati++++=the
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
architects ^nns++++=architects,
, ^zz++++=EXTRAWORD
designers ^nns++++=designers,
, ^zz++++=EXTRAWORD
building ^nvbg+++xvbg+=building
operators ^nns++++=operators,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
health ^nn++++=health
care ^nn++++=care
administrators ^nns++++=administrators
should ^md+nec+++=should
aspire ^vb++++=aspire
for ^in++++=for
hospital ^nn++++=hospital
designs ^nns++++=designs
that ^tht+rel+subj++=that
can ^md+pos+++=can
accommodate ^vb++++=accommodate
periods ^nns++++=periods
of ^in++++=of
enhanced ^jj+atrb++xvbn+=enhanced
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
and ^cc++++=and
minimize ^nn+++??+=minimize
connections ^nns++++=connections
and ^cc++++=and
flow ^nn++++=flow
between ^in++++=between
common ^jj+atrb+++=common
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
also ^rb++++=also
affording ^jj+atrb++??+=affording
flexibility ^nn++++=flexibility
for ^in++++=for
efficient ^jj+atrb+++=efficient
use ^nn++++=use
of ^in++++=of
space ^nn++++=space
during ^in++++=during
normal ^jj+atrb+++=normal
operating ^nn++++=operating
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
