The ^ati++++=The
resumption ^nn++++=resumption
of ^in++++=of
activities ^nns++++=activities
must ^md+nec+++=must
be ^vb+be+aux++=be
not ^xnot++not++=not
only ^rb+down+++=only
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
fulfilment ^nn++++=fulfilment
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
curriculum ^nn++++=curriculum
but ^cc++++=but
also ^rb++++=also
support ^nn++++=support
for ^in++++=for
psychological ^jj+atrb+++=psychological
and ^cc+phrs+++=and
social ^jj+atrb+++=social
care ^nn++++=care.
. ^zz++++=EXTRAWORD
Psychological ^jj+atrb+++=Psychological
problems ^nns++++=problems,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
left ^jj+atrb++xvbn+=left
untreated ^nn+++??+=untreated,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
affect ^vb++++=affect
family ^nn++++=family/children's
relationships ^nns++++=relationships,
, ^zz++++=EXTRAWORD
academic ^jj+atrb+++=academic
performance ^nn++++=performance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj++++=social
functioning ^jj+++xvbg+=functioning
( ^zz++++=(50).
50 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
childhood ^nn++++=childhood
mental ^jj+atrb+++=mental
health ^nn++++=health
problems ^nns++++=problems
often ^rb++++=often
continue ^vb++++=continue
into ^in++++=into
adulthood ^nn+++??+=adulthood
and ^cc++++=and
lead ^nn++++=lead
to ^to++++=to
decreased ^vbi++++=decreased
productivity ^nn++++=productivity,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
substance ^nn++++=substance
abuse ^nn++++=abuse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
substantial ^jj+atrb+++=substantial
economic ^jj+atrb+++=economic
burden ^nn++++=burden
to ^in++++=to
the ^ati++++=the
individual ^nn++++=individual
and ^cc++++=and
society ^nn++++=society
( ^zz++++=(51,
51 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
52 ^cd++++=52).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
