Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
conducting ^vbg+++xvbg+=conducting
studies ^nns++++=studies
of ^in++++=of
temporal ^jj+atrb+++=temporal
trend ^nn++++=trend
is ^vbz+bez+vrb++=is
appropriate ^jj+pred+++=appropriate
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
analyze ^vb+++??+=analyze
the ^ati++++=the
association ^nn++++=association
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
with ^in++++=with
the ^ati++++=the
rainfall ^nn++++=rainfall
indexes ^nns+++??+=indexes
in ^in++++=in
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
State ^nn++++=State
and ^cc++++=and
its ^pp$+it+++=its
Health ^nn++++=Health
Regions ^nns++++=Regions,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
that ^tht+vcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
few ^ap++++=few
studies ^nns++++=studies
about ^in++++=about
leptospirosis ^nns+++??+=leptospirosis
and ^cc++++=and
its ^pp$+it+++=its
relationship ^nn++++=relationship
with ^in++++=with
the ^ati++++=the
rainfall ^nn++++=rainfall
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
potential ^jj+atrb+++=potential
contribution ^nn++++=contribution
of ^in++++=of
epidemiological ^nn+++??+=epidemiological
surveillance ^nn++++=surveillance
to ^in++++=to
risk ^nn++++=risk
assessment ^nn++++=assessment
and ^cc++++=and
management ^nn++++=management.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
studies ^nns++++=studies
increase ^vb++++=increase
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
respond ^vbi++++=respond
to ^in++++=to
natural ^jj+atrb+++=natural
disasters ^nns++++=disasters
in ^in++++=in
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
and ^cc++++=and
contribute ^vb++++=contribute
to ^in++++=to
measures ^nns++++=measures
for ^in++++=for
the ^ati++++=the
prevention ^nn++++=prevention
and ^cc++++=and
control ^nn++++=control
of ^in++++=of
leptospirosis ^nns++++=leptospirosis
to ^in++++=to
be ^vbi++vrb++=be
more ^rbr++++=more
effective ^jj+pred+++=effective.
. ^zz++++=EXTRAWORD
