The ^ati++++=The
press ^nn++++=press
sections ^nns++++=sections
most ^ql+emph+++=most
read ^vb+vprv+tht0+xvbn+=read
every ^at++++=every
day ^nn++++=day
are ^vb+ber+vrb++=are
those ^dt+dem+++=those
about ^in++++=about
culture ^nn++++=culture
( ^zz++++=(17%),
17% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
science ^nn++++=science
and ^cc++++=and
technology ^nn++++=technology
( ^zz++++=(15%),
15% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tv ^nn++++=TV
critic ^nn++++=critic
( ^zz++++=(7%),
7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
music ^nn++++=music
critic ^nn++++=critic
( ^zz++++=(5%),
5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
film ^nn++++=film
critic ^nn++++=critic
( ^zz++++=(3%)
3 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
critics ^nns++++=critics
of ^in++++=of
art ^nn++++=art
and ^cc++++=and
exhibitions ^nns++++=exhibitions
( ^zz++++=(2%).
2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
the ^ati++++=the
disbursement ^nn++++=disbursement
made ^vbd+++xvbn+=made
in ^in++++=in
the ^ati++++=the
purchase ^nn++++=purchase
of ^in++++=of
newspapers ^nns++++=newspapers
in ^in++++=in
the ^ati++++=the
last ^jj+atrb+++=last
year ^nn++++=year,
, ^zz++++=EXTRAWORD
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
spent ^vbd+++xvbn+=spent
between ^in++++=between
0 ^zz++++=0
to ^to++++=to
20 ^cd++++=20
dollars ^nns++++=dollars;
; ^zz++++=EXTRAWORD
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
between ^in++++=between
21 ^cd++++=21
to ^to++++=to
30 ^cd++++=30
dollars ^nns++++=dollars;
; ^zz++++=EXTRAWORD
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
between ^in++++=between
31 ^cd++++=31
to ^to++++=to
40 ^cd++++=40
dollars ^nns++++=dollars;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
51 ^cd++++=51
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
with ^in++++=with
regard ^nn++++=regard
to ^to++++=to
spending ^vbi++++=spending
on ^in++++=on
magazines ^nns++++=magazines
in ^in++++=in
the ^ati++++=the
last ^jj+atrb+++=last
year ^nn++++=year,
, ^zz++++=EXTRAWORD
55 ^cd++++=55%
% ^zz++++=EXTRAWORD
between ^in++++=between
0 ^zz++++=0
to ^to++++=to
20 ^cd++++=20
dollars ^nns++++=dollars;
; ^zz++++=EXTRAWORD
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
between ^in++++=between
21 ^cd++++=21
to ^to++++=to
30 ^cd++++=30
dollars ^nns++++=dollars;
; ^zz++++=EXTRAWORD
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
between ^in++++=between
31 ^cd++++=31
to ^to++++=to
40 ^cd++++=40
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
between ^in++++=between
41 ^cd++++=41
to ^to++++=to
50 ^cd++++=50
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
