Since ^cs+sub+++=Since
the ^ati++++=the
quasi ^jjb++++=quasi-experimental
- ^zz++++=EXTRAWORD
experimental ^jj+atrb+++=EXTRAWORD
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
selected ^vpsv++agls+xvbnx+=selected,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
two ^cd++++=two
different ^jj+atrb+++=different
measurements ^nns++++=measurements,
, ^zz++++=EXTRAWORD
one ^pn++++=one
with ^in++++=with
a ^at++++=a
pre ^nn+++??+=pre-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
( ^zz++++=(before
before ^in++++=EXTRAWORD
intervention ^nn++++=intervention)
) ^zz++++=EXTRAWORD
and ^cc++++=and
one ^pn++++=one
with ^in++++=with
a ^at++++=a
post ^nn++++=post-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
( ^zz++++=(after
after ^in++++=EXTRAWORD
the ^ati++++=the
intervention ^nn++++=intervention).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
selected ^jj+atrb++xvbn+=selected
level ^nn++++=level
of ^in++++=of
significance ^nn++++=significance
for ^in++++=for
this ^dt+dem+++=this
social ^jj+atrb+++=social
science ^nn++++=science
research ^nn++++=research
was ^vbd+bedz+vrb++=was
= ^zz++++==
0.05 ^nn+++??+=0.05
and ^cc++++=and
a ^at++++=a
risk ^nn++++=risk
of ^in++++=of
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
assumed ^vpsv++agls+xvbnx+=assumed,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
the ^ati++++=the
confidence ^nn++++=confidence
level ^nn++++=level
equals ^nns++++=equals
to ^to++++=to
95 ^cd++++=95%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
