Studies ^nns++++=Studies
are ^vb+ber+aux++=are
needed ^vpsv++agls+xvbnx+=needed
that ^dt+dem+++=that
compare ^nn++++=compare
Peruvian ^np+++??+=Peruvian
regions ^nns++++=regions
according ^in++++=according
to ^in++++=to
different ^jj+atrb+++=different
areas ^nns++++=areas
of ^in++++=of
job ^nn++++=job
satisfaction ^nn++++=satisfaction
( ^zz++++=(an
an ^at++++=EXTRAWORD
objective ^jj++++=objective
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
beyond ^in++++=beyond
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
identify ^vbi++++=identify
a ^at++++=a
gold ^nn++++=gold
standard ^nn++++=standard
of ^in++++=of
job ^nn++++=job
satisfaction ^nn++++=satisfaction
as ^ql++++=as
it ^pp3+it+++=it
would ^md+prd+++=would
allow ^vb++++=allow
for ^in+ppvb+++=for
sensitivity ^nn++++=sensitivity
and ^cc++++=and
specificity ^nn++++=specificity
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
suggested ^vpsv++agls+xvbnx+=suggested
to ^to++++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
evaluate ^vb++++=evaluate
the ^ati++++=the
measurement ^nn++++=measurement
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
scales ^nns++++=scales
presented ^vwbn+++xvbn+=presented
in ^in++++=in
other ^ap++++=other
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
attach ^vb++++=attach
in ^in++++=in
supplement ^nn++++=supplement
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
and ^cc+phrs+++=and
English ^jj+atrb+++=English
versions ^nns++++=versions,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
In ^in++++=In
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
the ^ati++++=the
psychometric ^nn+++??+=psychometric
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
English ^jj+atrb+++=English
version ^nn++++=version
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
evaluated ^vbd+++xvbn+=evaluated,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
one ^cd1++++=one
proposal ^nn++++=proposal
of ^in++++=of
the ^ati++++=the
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
