Leptospirosis ^np+++??+=Leptospirosis
can ^md+pos+++=can
be ^vb+be+aux++=be
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
the ^ati++++=the
process ^nn++++=process
of ^in++++=of
disordered ^jj+atrb+++=disordered
occupation ^nn++++=occupation,
, ^zz++++=EXTRAWORD
with ^in++++=with
construction ^nn++++=construction
of ^in++++=of
houses ^nns++++=houses
in ^in++++=in
floodplain ^nn+++??+=floodplain
areas ^nns++++=areas
and ^cc++++=and
lack ^nn++++=lack
of ^in++++=of
basic ^jj+atrb+++=basic
infrastructure ^nn+++??+=infrastructure.
. ^zz++++=EXTRAWORD
The ^ati++++=The
transformation ^nn++++=transformation
of ^in++++=of
the ^ati++++=the
environment ^nn++++=environment,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
clear ^jj+atrb+++=clear
degradation ^nn++++=degradation
of ^in++++=of
space ^nn++++=space,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
take ^vb++++=take
the ^ati++++=the
place ^nn++++=place
to ^in++++=to
an ^at++++=an
unhealthy ^jj+atrb+++=unhealthy
scenario ^nn++++=scenario,
, ^zz++++=EXTRAWORD
risk ^vb++++=risk
area ^nn++++=area
for ^in++++=for
various ^jj+atrb+++=various
ailments ^nns++++=ailments,
, ^zz++++=EXTRAWORD
including ^in++++=including
leptospirosis4,7,11 ^nn++++=leptospirosis4,7,11.
. ^zz++++=EXTRAWORD
