Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
the ^ati++++=the
real ^jj+atrb+++=real
benefits ^nns++++=benefits
of ^in++++=of
integrative ^nn+++??+=integrative
and ^cc++++=and
complementary ^jj+atrb+++=complementary
therapies ^nns+++??+=therapies,
, ^zz++++=EXTRAWORD
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
side ^nn++++=side
effects ^nns++++=effects
and ^cc++++=and
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
being ^nn+nn+aux++=being
applied ^vwbn+++xvbn+=applied
in ^in++++=in
the ^ati++++=the
school ^nn++++=school
environment ^nn++++=environment,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
interesting ^jj+pred+++=interesting
to ^to+jcmp+++=to
show ^vbi+vprv+++=show
that ^tht+vcmp+++=that
its ^pp$+it+++=its
use ^nn++++=use
can ^md+pos+++=can
be ^vb+be+vrb++=be
an ^at++++=an
additional ^jj+atrb+++=additional
tool ^nn++++=tool
in ^in++++=in
improving ^jj+atrb+++=improving
post ^nn++++=post-pandemic
- ^zz++++=EXTRAWORD
pandemic ^nn++++=EXTRAWORD
education ^nn++++=education.
. ^zz++++=EXTRAWORD
