On ^in++++=On
a ^at++++=a
meso ^nn+++??+=meso
level ^nn++++=level,
, ^zz++++=EXTRAWORD
pandemics ^nns+++??+=pandemics
are ^vb+ber+vrb++=are
further ^jjb++++=further
associated ^jj+++xvbn+=associated
with ^in++++=with
severe ^jj+atrb+++=severe
disruptions ^nns+++??+=disruptions
of ^in++++=of
routines ^nns++++=routines,
, ^zz++++=EXTRAWORD
separation ^nn++++=separation
from ^in++++=from
family ^nn++++=family
and ^cc++++=and
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
school ^nn++++=school
closure ^nn++++=closure,
, ^zz++++=EXTRAWORD
shortages ^nns++++=shortages
of ^in++++=of
food ^nn++++=food
and ^cc++++=and
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
wage ^nn++++=wage
loss ^nn++++=loss,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
isolation ^nn++++=isolation
( ^zz++++=(due
due ^jj+cmpx+++=EXTRAWORD
to ^to+jcmp+++=to
quarantine ^vb++++=quarantine
or ^cc++++=or
other ^ap++++=other
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
programs ^nns+++??+=programs).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
with ^in++++=with
fear ^nn++++=fear
of ^in++++=of
infection ^nn++++=infection
as ^in++++=as
the ^ati++++=the
health ^nn++++=health
care ^nn++++=care
system ^nn++++=system
could ^md+pos+++=could
not ^xnot++not++=not
cope ^vb++++=cope
with ^in++++=with
the ^ati++++=the
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
( ^zz++++=(Choi
choi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Taylor ^np++++=Taylor,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
macro ^nn+++??+=macro
level ^nn++++=level,
, ^zz++++=EXTRAWORD
the ^ati++++=the
impact ^nn++++=impact
on ^in++++=on
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
political ^jj++++=political,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
socioeconomic ^nn+++??+=socioeconomic
factors ^nns++++=factors
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemics ^nns+++??+=pandemics
has ^vbz+hvz+aux++=has
influenced ^vprf+++xvbnx+=influenced
education ^nn++++=education,
, ^zz++++=EXTRAWORD
unemployment ^nn++++=unemployment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quality ^nn++++=quality
of ^in++++=of
work ^nn++++=work.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
can ^md+pos+++=can
predict ^vb+vpub+++=predict
how ^wrb+who+whcl++=how
things ^nns++++=things
will ^md+prd+++=will
evolve ^vb++++=evolve
in ^in++++=in
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
months ^nns++++=months,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
when ^wrb+who+++=when
a ^at++++=a
return ^nn++++=return
to ^in++++=to
some ^dti++++=some
semblance ^nn++++=semblance
of ^in++++=of
normal ^jj+atrb+++=normal
activity ^nn++++=activity
might ^md+pos+++=might
resume ^vb++++=resume
( ^zz++++=(Danese
danese ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
