Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
since ^in++++=since
health ^nn++++=health
services ^nns++++=services
availability ^nn++++=availability,
, ^zz++++=EXTRAWORD
governance ^nn+++??+=governance
structures ^nns++++=structures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
emergency ^nn++++=emergency
responders ^nns+++??+=responders
interactions ^nns++++=interactions,
, ^zz++++=EXTRAWORD
all ^abn++++=all
have ^vb+hv+vrb++=have
gender ^nn++++=gender
dimensions ^nns++++=dimensions
( ^zz++++=(Smith,
smith ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019)
) ^zz++++=EXTRAWORD
and ^cc++++=and
considering ^vbg+++xvbg+=considering
that ^tht+vcmp+++=that
gender ^nn++++=gender
roles ^nns++++=roles
and ^cc++++=and
stigma ^nn++++=stigma
affect ^vb++++=affect
adherence ^nn++++=adherence
to ^in++++=to
counseling ^nn+++??+=counseling
and ^cc++++=and
treatment ^nn++++=treatment
( ^zz++++=(Rugema
rugema ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019)
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
infer ^vbi++++=infer
that ^dt+pdem+++=that
women ^vbz++++=women
could ^md+pos+++=could
be ^vb+be+vrb++=be
of ^in++++=of
utmost ^jjb+atrb+++=utmost
importance ^nn++++=importance
to ^in++++=to
control ^nn++++=control
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
coronavirus ^nns+++??+=coronavirus
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently,
, ^zz++++=EXTRAWORD
improving ^vbg+++xvbg+=improving
global ^jj+atrb+++=global
health ^nn++++=health
security ^nn++++=security
( ^zz++++=(Wenham,
wenham ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Smith ^np++++=Smith
& ^zz++++=&
Morgan ^np++++=Morgan,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
that ^dt+dem+++=that
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
of ^in++++=of
utmost ^jjb+atrb+++=utmost
importance ^nn++++=importance
to ^to++++=to
include ^vbi++++=include
women ^nns++++=women
s ^zz++++=s
voices ^nns++++=voices
and ^cc++++=and
knowledge ^nn++++=knowledge
in ^in++++=in
decision ^nn++++=decision
making ^vwbg+++xvbg+=making,
, ^zz++++=EXTRAWORD
preparedness ^nns+++??+=preparedness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
as ^ql++++=as
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
insufficient ^jj+atrb+++=insufficient
women ^nns++++=women
s ^zz++++=s
representation ^nn++++=representation
in ^in++++=in
global ^jj+atrb+++=global
Covid ^np+++??+=Covid-19
 ^zz++++=EXTRAWORD
9 ^cd++++=EXTRAWORD
Policy ^nn++++=policy
Spaces ^nns++++=spaces
 ^zz++++=(Wenham,
Wenham ^np++++=EXTRAWORD
 ^zz++++=EXTRAWORD
020 ^cd++++=2020).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
