The ^ati++++=The
importance ^nn++++=importance
of ^in++++=of
research ^nn++++=research
connected ^vbd+++xvbn+=connected
to ^in++++=to
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
how ^wrb+who+++=how
the ^ati++++=the
stigma ^nn++++=stigma
of ^in++++=of
abortion ^nn++++=abortion
operates ^vbz++++=operates
in ^in++++=in
professionals ^nns++++=professionals
lies ^nns++++=lies
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Kumar ^np++++=Kumar,
, ^zz++++=EXTRAWORD
Hessini ^np+++??+=Hessini
y ^zz++++=y
Mitchell ^np++++=Mitchell
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
state ^nn++++=state,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
stigma ^nn++++=stigma
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
deemed ^vbd+++xvbn+=deemed
as ^ql++++=as
an ^at++++=an
element ^nn++++=element
that ^tht+rel+subj++=that
contributes ^vbz++++=contributes
to ^in++++=to
eliminating ^jj+atrb++??+=eliminating
abortion ^nn++++=abortion
from ^in++++=from
the ^ati++++=the
repertoire ^nn++++=repertoire
of ^in++++=of
practices ^nns++++=practices
or ^cc++++=or
services ^nns++++=services
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
demoting ^nn+++??+=demoting
it ^pp3+it+++=it
to ^in++++=to
clandestinity ^nn+++??+=clandestinity,
, ^zz++++=EXTRAWORD
creating ^vbg+++xvbg+=creating
a ^at++++=a
disincentive ^nn++++=disincentive
for ^in++++=for
healthcare ^nn+++??+=healthcare
workers ^nns++++=workers
to ^to++++=to
take ^vbi++++=take
part ^nn++++=part
in ^in++++=in
some ^dti++++=some
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
trajectory ^nn+++??+=trajectory
or ^cc++++=or
itinerary ^nn++++=itinerary
of ^in++++=of
abortion ^nn++++=abortion
( ^zz++++=(Heilborn
heilborn ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
O ^zz++++=O
Donnell ^np+++??+=Donnell,
, ^zz++++=EXTRAWORD
Weitz ^np+++??+=Weitz,
, ^zz++++=EXTRAWORD
Freedman ^np+++??+=Freedman
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
deemed ^vbd+++xvbn+=deemed
as ^ql++++=as
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
a ^at++++=a
medical ^jj+atrb+++=medical
practice ^nn++++=practice
becomes ^vbz++++=becomes
an ^at++++=an
anomaly ^nn+++??+=anomaly
or ^cc++++=or
an ^at++++=an
exceptional ^jj+atrb+++=exceptional
event ^nn++++=event,
, ^zz++++=EXTRAWORD
clouded ^jj++++=clouded
by ^in++++=by
moral ^jj+atrb+++=moral
judgement ^nn++++=judgement.
. ^zz++++=EXTRAWORD
