While ^cs+sub+++=While
intravenous ^jj+atrb+++=intravenous
steroids ^nns+++??+=steroids
are ^vb+ber+vrb++=are
the ^ati++++=the
mainstay ^nn++++=mainstay
treatment ^nn++++=treatment
approach ^nn++++=approach
for ^in++++=for
Ms ^nn++++=MS
relapses ^nns+++??+=relapses,
, ^zz++++=EXTRAWORD
studies ^nns++++=studies
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
relapse ^nn++++=relapse
treatment ^nn++++=treatment
with ^in++++=with
oral ^jj+atrb+++=oral
steroids ^nns+++??+=steroids
can ^md+pos+++=can
be ^vb+be+vrb++=be
similarly ^rb+cnj+++=similarly
effective17,18 ^nn+++??+=effective17,18.
. ^zz++++=EXTRAWORD
As ^ql++++=As
oral ^jj+atrb+++=oral
corticosteroids ^nns+++??+=corticosteroids
can ^md+pos+++=can
be ^vb+be+aux++=be
administered ^vpsv++agls+xvbnx+=administered
without ^in++++=without
breaking ^xvbg+++xvbg+=breaking
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
believe ^vb+vprv+tht0++=believe
this ^dt+dem+++=this
practice ^nn++++=practice
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
a ^at++++=a
treatment ^nn++++=treatment
strategy ^nn++++=strategy
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
propose ^vb++++=propose
treating ^vbg+++xvbg+=treating
relapses ^nns+++??+=relapses
with ^in++++=with
custom ^nn++++=custom-made
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
oral ^jj+atrb+++=oral
methylprednisolone ^nn+++??+=methylprednisolone
tablets ^nns++++=tablets
at ^in++++=at
1000 ^cd++++=1000
mg ^nnu++++=mg
per ^nnu++++=per
day ^nn++++=day
for ^in++++=for
five ^cd++++=five
days ^nns++++=days.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
oral ^jj+atrb+++=oral
tablets ^nns++++=tablets
are ^vb+ber+vrb++=are
unavailable ^jj+pred+++=unavailable
( ^zz++++=(a
a ^at++++=EXTRAWORD
common ^jj+atrb+++=common
situation ^nn++++=situation
in ^in++++=in
Brazil ^np++++=Brazil),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recommend ^vb+vsua+++=recommend
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
intravenous ^jj+atrb+++=intravenous
methylprednisolone ^nn+++??+=methylprednisolone
( ^zz++++=(1000
1000 ^cd++++=EXTRAWORD
mg ^nnu++++=mg)
) ^zz++++=EXTRAWORD
for ^in++++=for
five ^cd++++=five
days ^nns++++=days,
, ^zz++++=EXTRAWORD
preferably ^rb++++=preferably
in ^in++++=in
a ^at++++=a
day ^nn++++=day
hospital ^npl++++=hospital
regimen ^nn+++??+=regimen.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
contraindications ^nns+++??+=contraindications
to ^in++++=to
high ^jj++++=high-dose
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
steroids ^nns+++??+=steroids,
, ^zz++++=EXTRAWORD
intravenous ^jj+atrb+++=intravenous
immunoglobulin ^nn+++??+=immunoglobulin
( ^zz++++=(total
total ^jj+atrb+++=EXTRAWORD
dose ^nn++++=dose
of ^in++++=of
2 ^zz++++=2
g ^zz++++=g/kg
administered ^vpsv++agls+xvbn+=administered
for ^in++++=for
2 ^zz++++=2
5 ^zz++++=5
days ^nns++++=days)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
reasonable19 ^nn++++=reasonable19.
. ^zz++++=EXTRAWORD
