The ^ati++++=The
use ^nn++++=use
of ^in++++=of
Dd ^np+++??+=DD
dosage ^nn++++=dosage
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+vrb++=be
the ^ati++++=the
main ^jjb++++=main
criterion ^np++++=criterion
for ^in++++=for
performing ^xvbg+++xvbg+=performing
imaging ^nn+++??+=imaging
tests ^nns++++=tests,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
be ^vbi++vrb++=be
high ^jj+pred+++=high
in ^in++++=in
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
other ^ap++++=other
clinical ^jj+atrb+++=clinical
manifestations ^nns++++=manifestations
of ^in++++=of
Dvt ^np+++??+=DVT
should ^md+nec+++=should
be ^vb+be+aux++=be
evaluated ^vpsv++agls+xvbnx+=evaluated
before ^in++++=before
requesting ^nn++++=requesting
such ^abl++++=such
tests ^nns++++=tests
for ^in++++=for
its ^pp$+it+++=its
final ^jj+atrb+++=final
diagnosis ^nn++++=diagnosis.
. ^zz++++=EXTRAWORD
