Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Tinbergen ^np+++??+=Tinbergen
( ^zz++++=(1963)
1963 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
an ^at++++=an
ethologist ^nn+++??+=ethologist
will ^md+prd+++=will
attempt ^vb++++=attempt
to ^to+vcmp+++=to
recognize ^vbi+vprv+++=recognize
elements ^nns++++=elements
of ^in++++=of
animal ^nn++++=animal
s ^zz++++=s
own ^ap++++=own
behavior ^nn++++=behavior;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
kleptophagy ^nn+++??+=kleptophagy
is ^vbz+bez+vrb++=is
a ^at++++=a
phenomena ^nns++++=phenomena
proper ^jj++++=proper
( ^zz++++=(sensu
sensu ^nn+++??+=EXTRAWORD
Portmann ^np+++??+=Portmann
1967 ^cd+date+++=1967,
, ^zz++++=EXTRAWORD
Kleisner ^np+++??+=Kleisner
2008 ^cd++++=2008,
, ^zz++++=EXTRAWORD
Kleisner ^np+++??+=Kleisner
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
Aldana ^np+++??+=Aldana
and ^cc++++=and
Ot ^np+++??+=Ot
lora ^nn+++??+=lora-Luna
- ^zz++++=EXTRAWORD
luna ^np++++=EXTRAWORD
2019 ^cd++++=2019)
) ^zz++++=EXTRAWORD
of ^in++++=of
Belminus ^np+++??+=Belminus
genus ^nns+++??+=genus
and ^cc++++=and
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
triatomines ^nns+++??+=triatomines.
. ^zz++++=EXTRAWORD
The ^ati++++=The
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
Belminus ^np+++??+=Belminus
bugs ^vbz+++??+=bugs
approached ^vbd+++xvbn+=approached
the ^ati++++=the
cockroach ^nn++++=cockroach,
, ^zz++++=EXTRAWORD
performing ^vbg+++xvbg+=performing
a ^at++++=a
highly ^rb+amp+++=highly
stereotyped ^jj+atrb+++=stereotyped
sequence ^nn++++=sequence
that ^tht+rel+subj++=that
ended ^vbd+++xvbn+=ended
in ^in++++=in
proboscis ^nns+++??+=proboscis
lifting ^vwbg+++xvbg+=lifting
and ^cc++++=and
sucking ^jj++++=sucking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
result ^nn++++=result
in ^in++++=in
the ^ati++++=the
immediate ^jj+atrb+++=immediate
death ^nn++++=death
of ^in++++=of
the ^ati++++=the
host ^nn++++=host,
, ^zz++++=EXTRAWORD
defines ^vbz++++=defines
its ^pp$+it+++=its
phyloegentic ^nn++++=phyloegentic
relationship ^nn++++=relationship
within ^in++++=within
triatominae ^np++++=Triatominae.
. ^zz++++=EXTRAWORD
