Further ^jjb++++=Further,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
case ^nn++++=case
tested ^vwbn+++xvbn+=tested
positive ^jj++++=positive
for ^in++++=for
lupus ^nns+++??+=lupus
anticoagulant ^nn++++=anticoagulant.
. ^zz++++=EXTRAWORD
Zhang ^np+++??+=Zhang
et ^&fw++++=et
al.11 ^nn+++??+=al.11
recently ^rb+tm+++=recently
reported ^vbd+vpub++xvbn+=reported
three ^cd++++=three
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
with ^in++++=with
presence ^nn++++=presence
of ^in++++=of
thrombotic ^nn+++??+=thrombotic
phenomena ^nns++++=phenomena
( ^zz++++=(multiple
multiple ^jj+atrb+++=EXTRAWORD
cerebral ^jj+atrb+++=cerebral
infarctions ^nns+++??+=infarctions)
) ^zz++++=EXTRAWORD
and ^cc++++=and
antiphospholipid ^nn+++??+=antiphospholipid
antibodies ^nns++++=antibodies.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cases ^nns++++=cases
were ^vbd+bed+vrb++=were
negative ^jj+pred+++=negative
for ^in++++=for
lupus ^nns+++??+=lupus
anticoagulant ^nn++++=anticoagulant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
positive ^jj++++=positive
for ^in++++=for
anti ^nn+++??+=anti-cardiolipin
- ^zz++++=EXTRAWORD
cardiolipin ^nn+++??+=EXTRAWORD
Iga ^np+++??+=IgA
and ^cc++++=and
anti ^nn+++??+=anti
2 ^zz++++=2-glycoprotein-I
- ^zz++++=EXTRAWORD
glycoprotein ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
iga ^np++++=IgA
and ^cc++++=and
igg ^np++++=IgG
antibodies ^nns++++=antibodies.
. ^zz++++=EXTRAWORD
