The ^ati++++=The
holy ^jj+atrb+++=holy
grail ^nn+++??+=grail
quest ^nn++++=quest
for ^in++++=for
Diamond ^nn++++=Diamond
open ^jj+atrb+++=open
access ^nn++++=access
( ^zz++++=(no
no ^at++++=EXTRAWORD
Apc ^np+++??+=APC
for ^in++++=for
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
Doa ^np+++??+=DOA)
) ^zz++++=EXTRAWORD
versus ^in++++=versus
paywall ^nn+++??+=paywall
policies ^nns++++=policies
creates ^vbz++++=creates
a ^at++++=a
paradox ^nn++++=paradox:
: ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
journals ^vb++++=journals
cover ^vb++++=cover
the ^ati++++=the
costs ^nn++++=costs
involved ^vbd+++xvbn+=involved
in ^in++++=in
publishing ^xvbg+++xvbg+=publishing,
, ^zz++++=EXTRAWORD
copyediting ^nn+++??+=copyediting,
, ^zz++++=EXTRAWORD
Doi ^np+++??+=DOI
generation ^nn++++=generation,
, ^zz++++=EXTRAWORD
data ^nns++++=data
insertion ^nn++++=insertion
into ^in++++=into
biodiversity ^nn+++??+=biodiversity
databases ^nns+++??+=databases,
, ^zz++++=EXTRAWORD
file ^nn++++=file
archiving ^nn+++??+=archiving,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.?
. ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
These ^dt+dem+++=These
controversies ^nns++++=controversies
concerning ^in++++=concerning
Oa ^np+++??+=OA
were ^vbd+bed+aux++=were
depicted ^vpsv++agls+xvbnx+=depicted
with ^in++++=with
vibrant ^jj+atrb+++=vibrant
colors ^nns+++??+=colors
during ^in++++=during
the ^ati++++=the
gradual ^jj+atrb+++=gradual
transition ^nn++++=transition
of ^in++++=of
big ^jj+atrb+++=big
publishers ^nns++++=publishers
journals ^nns++++=journals,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Diversity ^nn++++=Diversity
and ^cc++++=and
Distributions ^nns++++=Distributions,
, ^zz++++=EXTRAWORD
from ^in++++=from
readers ^nns++++=readers'
' ^zz++++=EXTRAWORD
payment ^nn++++=payment
to ^in++++=to
authors ^nns++++=authors'
' ^zz++++=EXTRAWORD
payment ^nn++++=payment
in ^in++++=in
an ^at++++=an
Apc ^np+++??+=APC-OA
- ^zz++++=EXTRAWORD
oa ^nn+++??+=EXTRAWORD
model ^nn++++=model
( ^zz++++=(Peterson
peterson ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Gradually ^rb+cnj+++=Gradually,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scientific ^jj+atrb+++=scientific
scholarship ^nn++++=scholarship
publications ^nns++++=publications
are ^vb+ber+aux++=are
changing ^vbg+++xvbgx+=changing
from ^in++++=from
paywall ^nn+++??+=paywall
to ^in++++=to
Goa ^np+++??+=GOA
with ^in++++=with
authors ^nns++++=authors
paying ^vwbg+++xvbg+=paying
the ^ati++++=the
charges ^nns++++=charges
( ^zz++++=(APC-GOA)
apc ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
goa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
publication ^nn++++=publication
in ^in++++=in
biodiversity ^nn+++??+=biodiversity
journals ^nns++++=journals.
. ^zz++++=EXTRAWORD
Certainly ^rb+cnj+++=Certainly,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
best ^jjt+atrb+++=best
business ^nn++++=business
model ^nn++++=model
option ^nn++++=option
for ^in++++=for
the ^ati++++=the
big ^jj+atrb+++=big
publishers ^nns++++=publishers
because ^cs+cos+++=because
it ^pp3+it+++=it
avoids ^vbz++++=avoids
losses ^nns++++=losses
generated ^vwbn+++xvbn+=generated
by ^in++++=by
white ^jj++++=white
( ^zz++++=(sometimes
sometimes ^rb++++=EXTRAWORD
named ^xvbn+++xvbn+=named
black ^np++++=black
Oa ^np+++??+=OA)
) ^zz++++=EXTRAWORD
or ^cc++++=or
green ^jj+atrb+++=green
platforms ^nns++++=platforms
such ^abl++++=such
as ^ql++++=as
Sci ^np+++??+=Sci-Hub,
- ^zz++++=EXTRAWORD
hub ^nn++++=EXTRAWORD
