During ^in++++=During
the ^ati++++=the
evaluation ^nn++++=evaluation
of ^in++++=of
learning ^xvbg+++xvbg+=learning
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
students ^nns++++=students
from ^in++++=from
the ^ati++++=the
control ^nn++++=control
group ^nn++++=group
obtained ^vwbn+++xvbn+=obtained
4,05 ^cd++++=4,05
and ^cc++++=and
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group
4,17 ^cd++++=4,17
in ^in++++=in
the ^ati++++=the
pre ^nn+++??+=pre-test,
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
suggested ^vprf+++xvbn+=suggested
that ^tht+vcmp+++=that
students ^nns++++=students
learning ^vwbg+++xvbg+=learning
skills ^nns++++=skills
such ^abl++++=such
as ^ql++++=as
decoding ^vb+++??+=decoding
and ^cc++++=and
understanding ^nvbg+++xvbg+=understanding
new ^jj+atrb+++=new
vocabulary ^nn++++=vocabulary
are ^vb+ber+vrb++=are
rather ^rb++++=rather
poor ^jj+pred+++=poor.
. ^zz++++=EXTRAWORD
After ^in++++=After
implementing ^xvbg+++xvbg+=implementing
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
to ^to++++=to
enhance ^vbi++++=enhance
reading ^vbg+++xvbg+=reading
comprehension ^nn++++=comprehension,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
significant ^jj+atrb+++=significant
change ^nn++++=change
in ^in++++=in
the ^ati++++=the
results ^nns++++=results
obtained ^vwbn+++xvbn+=obtained
by ^in++++=by
the ^ati++++=the
control ^nn++++=control
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Actually ^rb+cnj+++=Actually,
, ^zz++++=EXTRAWORD
results ^nns++++=results
slightly ^rb+down+++=slightly
decreased ^vbd+++xvbn+=decreased.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
4 ^zz++++=4
also ^rb++++=also
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
results ^nns++++=results
were ^vbd+bed+vrb++=were
better ^jjr+pred+++=better
for ^in++++=for
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group
in ^in++++=in
the ^ati++++=the
post ^nn++++=post-test:
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
6,57 ^cd++++=6,57
out ^rp+pl+++=out
of ^in++++=of
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
means ^nns++++=means
that ^tht+rel+++=that
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
also ^rb++++=also
influenced ^vpsv++agls+xvbn+=influenced
positively ^rb++++=positively
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
learning ^nn++++=learning
skills ^nns++++=skills.
. ^zz++++=EXTRAWORD
