Journal	Title	Authors	Published	Vol/Issue	URL	DOI	PDF URL	Discipline	ID	Text ID	Section	Paragraph	Text Paragraph	Section Code	Paragraph Code	QJPP Filename	Type/Token	Word Length	Word Count	Factor 1 Score	Factor 2 Score	Factor 3 Score	Factor 4 Score	Factor 5 Score
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Abstract	Paragraph 1	High systolic blood pressure (SBP) is a major risk factor for ischemic heart disease (IHD), the leading cause of death worldwide. Using data from published observational studies and controlled trials, we estimated the mean SBP–IHD dose–response function and burden of proof risk function (BPRF), and we calculated a risk outcome score (ROS) and corresponding star rating (one to five). We found a very strong, significant harmful effect of SBP on IHD, with a mean risk—relative to that at 100 mm Hg SBP—of 1.39 (95% uncertainty interval including between-study heterogeneity 1.34–1.44) at 120 mm Hg, 1.81 (1.70–1.93) at 130 mm Hg and 4.48 (3.81–5.26) at 165 mm Hg. The conservative BPRF measure indicated that SBP exposure between 107.5 and 165.0 mm Hg raised risk by 101.36% on average, yielding a ROS of 0.70 and star rating of five. Our analysis shows that IHD risk was already increasing at 120 mm Hg SBP, rising steadily up to 165 mm Hg and increasing less steeply above that point. Our study endorses the need to prioritize and strengthen strategies for screening, to raise awareness of the need for timely diagnosis and treatment of hypertension and to increase the resources allocated for understanding primordial prevention of elevated blood pressure.	s1	p1	t000001_s1_p1_qjpp.txt	31.3	4.8	211	-20.19	-4.64	2.34	-4.71	-2.1
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Introduction, Literature Review	Paragraph 1	High SBP is a common modifiable risk factor for IHD . IHD is the leading cause of death and disability worldwide, accounting for an estimated 9.1 million (95% uncertainty interval (UI) = 8.4–9.7 million) deaths, 197 million (178–219) prevalent cases and 182 million (170–194) disability-adjusted life years in 2019 (ref. ).	s8	p1	t000001_s8_p1_qjpp.txt	10.8	4.9	51	-27.46	-5.08	5.06	-6.61	-3.63
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Introduction, Literature Review	Paragraph 2	The association between SBP and IHD is one of the most widely investigated health risk–outcome relationships, with substantial evidence for causation . Prospective cohort studies have reported a continuous log-linear association between usual SBP and mortality due to vascular events across diverse population groups with and without pre-existing cardiovascular disease . Similarly, double-blinded randomized control trials (RCTs) that examine blood pressure-lowering drugs and meta-analyses of RCT data have provided evidence of the protective effects of pharmacologically induced blood pressure reduction .	s8	p2	t000001_s8_p2_qjpp.txt	17.0	6.2	83	-27.2	2.02	2.91	-6.61	3.9
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Introduction, Literature Review	Paragraph 3	Despite the extensive body of evidence indicating that elevated SBP is related to increased risk of IHD, several questions and methodological challenges remain unaddressed . Trials performed thus far have primarily focused on individuals diagnosed with hypertension or those who are already at high cardiovascular risk, typically involving participants who are known to be at higher levels of risk. Moreover, there are crucial questions about the level at which SBP values should be considered elevated, and whether pharmacological reduction of BP reduces IHD risk even for individuals with relatively low baseline levels . Conversely there has been discussion of whether reduction of BP below a certain point may actually increase IHD risk, based on the J-shaped SBP–IHD relationship observed in analyses performed in a subset of cohort studies .	s8	p3	t000001_s8_p3_qjpp.txt	22.3	5.5	127	-17.1	-2.18	11.39	0.29	17.42
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Introduction, Literature Review	Paragraph 4	Investigation of SBP as a continuous risk function is helpful in the face of multiple current clinical guidelines for BP that suggest different thresholds for applying diagnoses. The American College of Cardiology/American Heart Association 2017 guidelines define normal BP as <120/80 mm Hg, with elevated BP considered to be SBP of 120–129 mm Hg and hypertension defined as SBP ≥130/80 mm Hg (ref. ). In contrast, the European Society of Cardiology/European Society of Hypertension 2018 guidelines consider normal BP to be <130/85 mm Hg, with high-normal defined as BP of 130–139/85–89 mm Hg and hypertension defined as ≥140 mm Hg (ref. ). The International Society of Hypertension 2020 guidelines similarly consider hypertension to be BP ≥140/90 mm Hg (ref. ).	s8	p4	t000001_s8_p4_qjpp.txt	15.8	4.8	120	-27.13	-3.91	2.81	-6.61	4.27
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Introduction, Literature Review	Paragraph 5	The increasing disease burden attributable to high BP levels worldwide and the inconsistent global progress in hypertension treatment, control and prevention demonstrate the relevance of studies that quantify the strength of the evidence using an objective, quantitative, comprehensive and comparative framework . Findings from such studies can be used to support (1) strengthening of targeted and population-based screening strategies that promote hypertension awareness and timely diagnosis; (2) scaling up of effective hypertension treatment to achieve universal coverage; (3) optimization of patient care and follow-up; and (4) increasing resources allocated for primordial prevention and effective treatment of hypertension and IHD from early childhood through the life course.	s8	p5	t000001_s8_p5_qjpp.txt	18.8	6.2	106	-28.56	-5.73	13.22	-6.61	-0.58
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Introduction, Literature Review	Paragraph 6	In this study we assessed the continuous dose–response relationship of SBP to IHD, applying a Bayesian meta-analytic approach . We estimated the shape of the risk function and BPRF—defined as a conservative assessment of the effect of SBP on IHD—based on the evidence from both observational cohort studies and RCTs. We included potential covariates related to study design to account for potential bias. Differences in ranges of SBP levels across studies were handled by integration across the risk curve. We also tested for the presence of publication and reporting bias in the data analyzed . In addition, we minimized the number of a priori statistical assumptions and approximations frequently used in previous meta-analyses.	s8	p6	t000001_s8_p6_qjpp.txt	19.3	5.3	115	-28.66	-3.44	2.12	-6.61	9.99
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Introduction, Literature Review	Paragraph 7	From the BPRF we computed a ROS, with a higher positive value corresponding to a higher average effect size across SBP values in the data-dense area between the 15th and 85th percentile of SBP distribution in the data analyzed, and thus stronger evidence for the estimated relationship. For further interpretability we converted the ROS into a star rating, with one star indicating no relationship between risk and outcome and five stars indicating a large effect and strong evidence. The ROS offers a method for comparison of the strength of evidence for the effect of SBP on IHD with evidence for other risk factors and outcomes , and a robust approach to effective translation of scientific knowledge into strategic policies for prevention and control of hypertension.	s8	p7	t000001_s8_p7_qjpp.txt	18.3	5.1	124	-29.9	-4.93	3.74	-6.61	1.41
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Introduction, Literature Review	Paragraph 8	Our results represent an updated systematic synthesis and meta-analysis of the available causal evidence from RCTs and cohort studies examining the effect of SBP on IHD, and show a significant and direct dose–response relationship between SBP levels and IHD risk across all SBP exposure values (100–200 mm Hg), without evidence for a J-shape. Additionally, our findings suggest that IHD risk remains highest for individuals living with the highest SBP levels, providing evidence in support of public health and clinical interventions that will allow people to maintain SBP levels associated with low IHD risk throughout their lives. Table 1 summarizes the main findings, limitations and policy implications of this study.	s8	p8	t000001_s8_p8_qjpp.txt	20.3	5.3	112	-28.35	-1.73	6.11	-4.48	-3.63
Nature Medicine	Effects of elevated systolic blood pressure on ischemic heart disease: a Burden of Proof study	Christian Razo, Catherine A. Welgan, Gregory A. Roth	2022-10-10	Not defined	https://www.nature.com/articles/s41591-022-01974-1	Not defined	https://www.nature.com/articles/s41591-022-01974-1.pdf	Health Sciences	natm000015	t000001	Results	Paragraph 1	Following Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines (Supplementary Tables 1 and 2 ), we identified 86 RCTs from a previous meta-analysis and 2,368 RCTs published between February 2018 and April 2020. In addition, two studies previously used in the Global Burden of Disease study 2019 (ref. ) to estimate the burden attributable to high SBP were identified. In total, we extracted data from 41 studies: one observational study , one pooled cohort that included 61 prospective studies and 39 RCTs investigating the effect of blood pressure-lowering drugs on SBP (Extended Data Fig. 1 ). The data included represent 1,486,007 unique participants and 12,628 IHD events. Studies were conducted across 66 countries (Extended Data Fig. 2 ). Table 2 summarizes additional characteristics of the studies included. The full citation list of studies included is available in Supplementary Table 3 .	s19	p1	t000001_s19_p1_qjpp.txt	25.0	5.4	139	-29.85	-1.27	-0.7	-6.61	-1.45
