REAGENT or RESOURCE SOURCE IDENTIFIER Antibodies rabbit anti-H3K27ac Diagenode C15410174
rabbit anti-H3K4me1 Diagenode C15410037 rabbit anti-H3K27me3 Merck Millipore 07-449 rabbit
anti-H3K4me3 Merck Millipore 07-473 rabbit anti-lamin B1 Abcam ab160486 donkey
anti-rabbit IgG-Atto647 Sigma Aldrich 40839 Anti-DIG-AP, 150 U Roche Diagnostics
11093274910 rabbit anti-DNMT3A Abcam ab188470 lot GR224165-2 rabbit antiDNMT3B Cell
Signaling cs48488, lot 1 rabbit antiACTIN Sigma Aldrich A2066 Bacterial
and virus strains One Shot TOP 10 Chemically Competent Cells
E.c. Thermo Fisher C404006 Chemicals, peptides, and recombinant proteins Advantage
cDNA polymerase Clontech 639105 Agencourt AMPure XP magnetic beads Beckman
Coulter A63880 Auxin Abcam ab14642 Biozym Blue S'Green qPCR Kit
Separate ROX Biozym 331416S BCIP, 3ml (150 mg) Roche Diagnostics
11383221001 Biotin-14-dATP-50 nmol Thermo Fisher Scientific 19524016 BM-Purple, AP-Substrat Roche
Diagnostics 11442074001 cOmplete, Mini, EDTA-free Protease Inhibitor Coctail Sigma Aldrich
4693159001 Covaris micro TUBE AFA Fiber Pre-Slit Snap-Cap tubes Covaris
SKU - 520045 DMEM, high glucose, no glutamine Thermo Fisher
11960085 DNA Pol. Large Fragm. (Klenow) New England Biolabs M0210L
Dnase,recombinant,RNase-free (10000 U) Roche Diagnostics 4716728001 DpnI, recombinant New England
Biolabs R0176L DpnII, recombinant New England Biolabs R0543S Dynabeads MyOne
Streptavidin T1-10 mL Thermo Fisher Scientific 65602 ESGRO(LIF) Millipore ESG1107
Formamide deionized for molecular biology PanReac AppliChem APP A2156,1000 FuGENE
HD Transfection Reagent Promega E2311 Gelatin 2% solution from bovine
skin cell Sigma Aldrich G1393 Heparin sodium salt Sigma Aldrich
H3149 Hygromycin B (50mg/ml) Thermo Fisher 10687010 Knockout DMEM-500 ml
Thermo Fisher 10829018 L-glutamine (200mM) Lonza 882027-12 Lent-X concentrator Takara
631232 Library Efficiency DH5a Competent Cells Thermo Fisher 18263012 Lipofectamine
2000 Transfection Reagent Thermo Fisher Scientific 11668019 MEM Non Essential
Amino Acids Solution Thermo Fisher 11140068 NBT, 3ml (300 mg)
Roche Diagnostics 11383213001 NEBNext High-Fidelity 2X PCR Master Mix New
