The three study sites in central Panama have more intact
predator communities, although like Coiba and Jicaron, they lack the
largest avian predator, the harpy eagle ( Harpia harpyja ).
Barro Colorado Island (BCI; 1540 ha), Gigante Peninsula (GP; 1570
ha), and Soberanía National Park (SNP; 22,000 ha) are all
located in the Panama Canal Area and were part of
the same nearly contiguous block of forest until 1913 when
the Chagres River was dammed to create Gatun Lake. These
sites, hereafter referred to as mainland sites, are in close
proximity (<10 km from one another), but movement of animals
among them is inhibited by a water barrier. With an
average temperature of 27 °C, these sites receive, on average,
2631 mm of rainfall each year and are characterized by
lowland tropical moist forests ( Holdridge, 1967 , Windsor, 1990
, Leigh, 1999 ). Seasonality is marked with a dry
season that lasts from December through April. These sites form
an important component of the biological corridor that stretches across
central Panama, connecting North and South America ( Condit et
al., 2001 , Meyer et al., 2015 ).
