Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
sharing ^vbg+++xvbg+=sharing
the ^ati++++=the
same ^ap++++=same
socioeconomic ^nn+++??+=socioeconomic
context ^nn++++=context,
, ^zz++++=EXTRAWORD
academic ^jj+atrb+++=academic
researchers ^nns+++??+=researchers
and ^cc++++=and
nonprofit ^nn+++??+=nonprofit
researchers ^nns+++??+=researchers
are ^vb+ber+aux++=are
embedded ^vpsv++agls+xvbnx+=embedded
in ^in++++=in
somewhat ^rb+down+++=somewhat
different ^jj+atrb+++=different
local ^jj+atrb+++=local
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
neoliberal ^nn+++??+=neoliberal
context ^nn++++=context,
, ^zz++++=EXTRAWORD
academics ^nns++++=academics
strive ^vb++++=strive
to ^in+vcmp+++=to
disseminate ^jj+atrb++??+=disseminate
knowledge ^nn++++=knowledge
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Ngos ^np+++??+=NGOs
typically ^rb++++=typically
aim ^vb++++=aim
to ^to+vcmp+++=to
serve ^vbi++++=serve
diverse ^jj+atrb+++=diverse
populations ^nns++++=populations
using ^vwbg+++xvbg+=using
specific ^jj+atrb+++=specific
metrics ^nns+++??+=metrics
of ^in++++=of
success ^nn++++=success.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
embeddedness ^nns+++??+=embeddedness
operates ^vbz++++=operates
effectively ^rb++++=effectively
for ^in++++=for
the ^ati++++=the
goals ^nns++++=goals
of ^in++++=of
the ^ati++++=the
individual ^jj+atrb+++=individual
organizations ^nns++++=organizations,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
create ^vb++++=create
tensions ^nns++++=tensions
between ^in++++=between
the ^ati++++=the
broader ^jjr+atrb+++=broader
organization ^nn++++=organization
s ^zz++++=s
goals ^nns++++=goals
and ^cc++++=and
researchers ^nns+++??+=researchers
personal ^jj+atrb+++=personal
convictions ^nns++++=convictions.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
aware ^jj+pred+++=aware
of ^in++++=of
their ^pp$+pp3+++=their
embedded ^vbd+++xvbn+=embedded
agency ^nn++++=agency
( ^zz++++=(
Kluttz ^np++++=Kluttz
and ^cc++++=and
Fligstein ^np+++??+=Fligstein
2016 ^cd++++=2016
) ^zz++++=)
may ^md+pos+++=may
resent ^vb++++=resent
embedded ^vbd+++xvbn+=embedded
restrictions ^nns++++=restrictions
but ^cc++++=but
have ^vb+hv+vrb++=have
no ^at++++=no
framework ^nn++++=framework
for ^in++++=for
resisting ^xvbg+++xvbg+=resisting
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
conflicts ^nns++++=conflicts,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
influence ^nn++++=influence
how ^wrb+who+++=how
applied ^xvbn+++xvbn+=applied
researchers ^nns++++=researchers
engage ^vb++++=engage
in ^in++++=in
labor ^nn++++=labor
market ^nn++++=market
research ^nn++++=research.
. ^zz++++=EXTRAWORD
