Two ^cd++++=Two
hypotheses ^nns++++=hypotheses
were ^vbd+bed+aux++=were
proposed ^vpsv++agls+xvbnx+=proposed
at ^rb++++=at
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
this ^dt+dem+++=this
paper ^nn++++=paper
with ^in++++=with
regard ^nn++++=regard
to ^in++++=to
the ^ati++++=the
potential ^jj+atrb+++=potential
relationship ^nn++++=relationship
between ^in++++=between
paleoclimatic ^nn+++??+=paleoclimatic
conditions ^nns++++=conditions
and ^cc++++=and
the ^ati++++=the
expanding ^jj+atrb++xvbg+=expanding
hominin ^nn+++??+=hominin
occupation ^nn++++=occupation
record ^nn++++=record
across ^in+pl+++=across
Mis ^npt++++=MIS
13 ^cd++++=13
11 ^cd++++=11:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
paleoclimatic ^nn+++??+=paleoclimatic
conditions ^nns++++=conditions
associated ^vbd+++xvbn+=associated
with ^in++++=with
hominin ^nn+++??+=hominin
occupations ^nns++++=occupations
expanded ^vbd+++xvbn+=expanded
across ^in+pl+++=across
Mis ^npt++++=MIS
13 ^cd++++=13
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub+tht0+xvbg+=suggesting
that ^tht+vcmp+++=that
hominins ^vbz+++??+=hominins
expanded ^vbd+++xvbn+=expanded
into ^in++++=into
and ^cc++++=and
tolerated ^vbd+++xvbn+=tolerated
a ^at++++=a
wider ^jjr+atrb+++=wider
range ^nn++++=range
of ^in++++=of
climatic ^jj+atrb+++=climatic
niches ^nns+++??+=niches
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
paleoclimatic ^nn+++??+=paleoclimatic
conditions ^nns++++=conditions
associated ^vbd+++xvbn+=associated
with ^in++++=with
hominin ^nn+++??+=hominin
occupations ^nns++++=occupations
remained ^vbd+++xvbn+=remained
stable ^nn++++=stable
or ^cc++++=or
narrowed ^vpsv++agls+xvbn+=narrowed
across ^in+pl+++=across
Mis ^npt++++=MIS
13 ^cd++++=13
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
that ^tht+vcmp+++=that
those ^dt+dem+++=those
conditions ^nns++++=conditions
became ^vbd+++xvbn+=became
available ^jj++++=available
over ^in++++=over
a ^at++++=a
wider ^jjr+atrb+++=wider
geographical ^jj+atrb+++=geographical
extent ^nn++++=extent
and ^cc++++=and/or
a ^at++++=a
longer ^rbr++++=longer
chronological ^jj+atrb+++=chronological
duration ^nn++++=duration.
. ^zz++++=EXTRAWORD
