Like ^in++++=Like
many ^ap++++=many
African ^jj+atrb+++=African
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
Ghana ^np++++=Ghana,
, ^zz++++=EXTRAWORD
Cameroon ^np+++??+=Cameroon,
, ^zz++++=EXTRAWORD
Lesotho ^np+++??+=Lesotho
and ^cc++++=and
Uganda ^np++++=Uganda
have ^vb+hv+aux++=have
observed ^vprf+++xvbnx+=observed
adverse ^jj+atrb+++=adverse
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Who ^whp+wpr+whcl++=WHO
2021b ^cd++++=2021b
) ^zz++++=).
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
about ^in++++=about
801 ^cd++++=801
deaths ^nns++++=deaths
and ^cc++++=and
97,585 ^cd++++=97,585
confirmed ^vbn+vpub+tht0+xvbn+=confirmed
cases ^nns++++=cases
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
Ghana ^np++++=Ghana
( ^zz++++=(
Ghana ^np++++=Ghana
Health ^nn++++=Health
Service ^nn++++=Service
2021 ^cd++++=2021
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
Cameroon ^np+++??+=Cameroon,
, ^zz++++=EXTRAWORD
80,858 ^cd++++=80,858
and ^cc++++=and
1,324 ^cd++++=1,324
confirmed ^vbn+vpub++xvbn+=confirmed
cases ^nns++++=cases
and ^cc++++=and
deaths ^nns++++=deaths,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
while ^cs+sub+++=while
that ^dt+dem+++=that
of ^in++++=of
Lesotho ^np+++??+=Lesotho
stood ^vbd+++xvbn+=stood
at ^rb++++=at
11,903 ^cd++++=11,903
cases ^nns++++=cases
and ^cc++++=and
335 ^cd++++=335
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
Uganda ^np++++=Uganda
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
reported ^vprf+++xvbnx+=reported
88,194 ^cd++++=88,194
and ^cc++++=and
2,164 ^cd++++=2,164
cases ^nns++++=cases
and ^cc++++=and
deaths ^nns++++=deaths,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
governments ^nns++++=governments
in ^in++++=in
many ^ap++++=many
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
including ^in++++=including
Ghana ^np++++=Ghana,
, ^zz++++=EXTRAWORD
Cameroon ^np+++??+=Cameroon,
, ^zz++++=EXTRAWORD
Uganda ^np++++=Uganda
and ^cc++++=and
Lesotho ^np+++??+=Lesotho,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
put ^vprf+++xvbnx+=put
in ^rb+phrv+++=in
place ^nn++++=place
responsive ^jj+atrb+++=responsive
measures ^nns++++=measures
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
lockdowns ^nns+++??+=lockdowns,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
have ^vb+hv+vrb++=have
economic ^jj+atrb+++=economic
repercussions ^nns++++=repercussions,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
implemented ^vpsv++agls+xvbnx+=implemented
to ^to++++=to
restrict ^vbi++++=restrict
human ^jj+atrb+++=human
movement ^nn++++=movement
and ^cc++++=and
control ^nn++++=control
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
virus ^nn++++=virus
( ^zz++++=(
Alemanno ^np++++=Alemanno
2020 ^cd++++=2020
; ^zz++++=;
Bari ^np+++??+=Bari
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021
; ^zz++++=;
Ranscombe ^np+++??+=Ranscombe
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Zhang ^np+++??+=Zhang
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
although ^cs+con+++=although
lockdowns ^nns+++??+=lockdowns
are ^vb+ber+vrb++=are
harsher ^jjr+atrb+++=harsher
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
greater ^jjr+atrb+++=greater
capacity ^nn++++=capacity
to ^to+ncmp+++=to
swiftly ^rb++splt++=swiftly
respond ^vbi++++=respond
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
vaccination ^nn++++=vaccination
has ^vbz+hvz+aux++=has
progressed ^vprf+++xvbn+=progressed
in ^in++++=in
regions ^nns++++=regions
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
african ^jj+atrb+++=African
countries ^nns++++=countries
lag ^nn++++=lag
behind ^in+pl+++=behind
( ^zz++++=(
who ^whp+who+++=WHO
2021b ^cd++++=2021b
) ^zz++++=).
. ^zz++++=EXTRAWORD
