Both ^abx++++=Both
geometric ^jj+atrb+++=geometric
morphometric ^nn+++??+=morphometric
( ^zz++++=(GM)
gm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
traditional ^jj+atrb+++=traditional
morphometric ^nn+++??+=morphometric
( ^zz++++=(TM)
tm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
methods ^nns++++=methods
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^in++++=to
analyze ^nn+++??+=analyze
covariation ^nn+++??+=covariation
between ^in++++=between
the ^ati++++=the
cranium ^nn+++??+=cranium
and ^cc++++=and
the ^ati++++=the
cervical ^jj+atrb+++=cervical
vertebrae ^nn+++??+=vertebrae
in ^in++++=in
Hominidae ^np+++??+=Hominidae.
. ^zz++++=EXTRAWORD
Gm ^np+++??+=GM
methods ^nns++++=methods
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
perform ^vb++++=perform
the ^ati++++=the
analyses ^nns++++=analyses
at ^in++++=at
the ^ati++++=the
interspecific ^nn+++??+=interspecific
level ^nn++++=level,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tm ^np+++??+=TM
methods ^nns++++=methods
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
at ^rb++++=at
the ^ati++++=the
intraspecific ^nn+++??+=intraspecific
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
performing ^xvbg+++xvbg+=performing
the ^ati++++=the
analyses ^nns++++=analyses,
, ^zz++++=EXTRAWORD
landmarks ^nns++++=landmarks
that ^tht+rel+subj++=that
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
captured ^vpsv++agls+xvbnx+=captured
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
damage ^vb++++=damage
in ^in++++=in
the ^ati++++=the
bone ^nn++++=bone
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
estimated ^jj+atrb++xvbn+=estimated
using ^jj+atrb++xvbg+=using
bilateral ^nn+++??+=bilateral
symmetry ^nn++++=symmetry
and ^cc+cls+++=and
otherwise ^rb+cnj+++=otherwise
calculated ^vbd+vprv++xvbn+=calculated
using ^vbg+++xvbg+=using
partial ^jj++++=partial
least ^ql++++=least
squares ^nns++++=squares
( ^zz++++=(PLS;
pls ^nns+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Bookstein ^np+++??+=Bookstein
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990
; ^zz++++=;
Rohlf ^np+++??+=Rohlf
and ^cc++++=and
Corti ^np+++??+=Corti,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
) ^zz++++=).
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
than ^in++++=than
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
landmarks ^nns++++=landmarks
were ^vbd+bed+aux++=were
estimated ^vpsv++agls+xvbnx+=estimated.
. ^zz++++=EXTRAWORD
All ^abn++++=All
statistical ^jj+atrb+++=statistical
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
in ^in++++=in
R ^zz++++=R
v ^zz++++=v.
. ^zz++++=EXTRAWORD
4.0.2 ^cd++++=4.0.2
( ^zz++++=(
R ^zz++++=R
Core ^nn++++=Core
Team ^nn++++=Team,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
for ^in++++=for
Gms ^np+++??+=GMs
using ^vwbg+++xvbg+=using
the ^ati++++=the
package ^nn++++=package
geomorph ^nn+++??+=geomorph
v ^zz++++=v.
. ^zz++++=EXTRAWORD
3.2.1 ^cd++++=3.2.1
( ^zz++++=(
adams ^np++++=Adams
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
