Item ^nn++++=Item
nonresponse ^nn+++??+=nonresponse
or ^cc++++=or
not ^xnot++not++=not
answering ^jj+atrb++xvbg+=answering
questions ^nns++++=questions
at ^rb++++=at
all ^abn++++=all
is ^vbz+bez+vrb++=is
of ^in++++=of
central ^jj+atrb+++=central
interest ^nn++++=interest
in ^in++++=in
understanding ^xvbg+++xvbg+=understanding
how ^wrb+who+++=how
liking ^nvbg+++xvbg+=liking
and ^cc++++=and
data ^nns++++=data
quality ^nn++++=quality
are ^vb+ber+aux++=are
related ^vpsv++agls+xvbnx+=related.
. ^zz++++=EXTRAWORD
Nonresponse ^np+++??+=Nonresponse
might ^md+pos+++=might
occur ^vb++++=occur
more ^rbr++++=more
often ^rb++++=often
when ^wrb+who+++=when
a ^at++++=a
respondent ^jj++++=respondent
does ^vbz+doz+aux++=does
not ^xnot++not++=not
trust ^vb+vprv+++=trust
the ^ati++++=the
interviewer ^nn++++=interviewer
or ^cc++++=or
the ^ati++++=the
question ^nn++++=question
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
sensitive ^jj++++=sensitive
that ^cs+sub+++=that
the ^ati++++=the
information ^nn++++=information
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+aux++=be
shared ^vpsv++agls+xvbnx+=shared,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
guilt ^nn++++=guilt
or ^cc++++=or
shame ^nn++++=shame
is ^vbz+bez+vrb++=is
high ^jj+pred+++=high
and ^cc++++=and
the ^ati++++=the
respondent ^jj++++=respondent
does ^vbz+doz+aux++=does
not ^xnot++not++=not
expect ^vb+vprv+++=expect
understanding ^nvbg+++xvbg+=understanding
or ^cc++++=or
even ^rb++++=even
fears ^nns++++=fears
moral ^jj+atrb+++=moral
judgment ^nn++++=judgment.
. ^zz++++=EXTRAWORD
A ^at++++=A
large ^jj+atrb+++=large
degree ^nn++++=degree
of ^in++++=of
similarity ^nn++++=similarity
between ^in++++=between
respondent ^jj++++=respondent
and ^cc++++=and
interviewer ^nn++++=interviewer
could ^md+pos+++=could
improve ^vb++++=improve
these ^dt+dem+++=these
aspects ^nns++++=aspects
as ^in++++=as
similar ^jj+atrb+++=similar
people ^nns++++=people
might ^md+pos+++=might
share ^vb++++=share
similar ^jj+atrb+++=similar
interests ^nns++++=interests
and ^cc++++=and
moral ^jj+atrb+++=moral
attitudes ^nns++++=attitudes
( ^zz++++=(
Mcpherson ^np++++=McPherson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2001 ^cd++++=2001
: ^zz++++=:429).
429 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
similarity ^nn++++=similarity
with ^in++++=with
the ^ati++++=the
interviewer ^nn++++=interviewer
is ^vbz+bez+vrb++=is
higher ^jjr+pred+++=higher,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fear ^nn++++=fear
of ^in++++=of
moral ^jj+atrb+++=moral
judgment ^nn++++=judgment
or ^cc++++=or
lack ^nn++++=lack
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding
might ^md+pos+++=might
be ^vb+be+vrb++=be
lower ^jjr+pred+++=lower,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
increases ^vbz++++=increases
the ^ati++++=the
probability ^nn++++=probability
that ^tht+ncmp+++=that
the ^ati++++=the
respondent ^nn++++=respondent
will ^md+prd+++=will
answer ^vb++++=answer.
. ^zz++++=EXTRAWORD
