Like ^in++++=Like
clinical ^jj+atrb+++=clinical
sociologists ^nns++++=sociologists,
, ^zz++++=EXTRAWORD
many ^ap++++=many
Crpo ^np+++??+=CRPO-registered
- ^zz++++=EXTRAWORD
registered ^xvbn+++xvbn+=EXTRAWORD
psychotherapists ^nns+++??+=psychotherapists
work ^nn++++=work
with ^in++++=with
vulnerable ^jj+atrb+++=vulnerable
populations ^nns++++=populations.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
not ^xnot++not++=not
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
have ^vbi++vrb++=have
the ^ati++++=the
training ^nn++++=training
needed ^vwbn+++xvbn+=needed
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
societal ^nn+++??+=societal
conditions ^nns++++=conditions
that ^tht+rel+subj++=that
make ^vb++++=make
these ^dt+dem+++=these
populations ^nns++++=populations
disproportionately ^rb++++=disproportionately
vulnerable ^jj++++=vulnerable.
. ^zz++++=EXTRAWORD
Sociologists ^nns++++=Sociologists
well ^rb++++=well
versed ^nn+++??+=versed
in ^in++++=in
intersectional ^nn+++??+=intersectional
studies ^nns++++=studies
( ^zz++++=(
Crenshaw ^np++++=Crenshaw
1990 ^cd+date+++=1990
) ^zz++++=),
, ^zz++++=EXTRAWORD
institutionalization ^nn+++??+=institutionalization
and ^cc++++=and
Foucauldian ^np+++??+=Foucauldian
theory ^nn++++=theory,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
highly ^rb+amp+++=highly
critical ^jj+pred+++=critical
of ^in++++=of
what ^wdt+who+++=what
counts ^npt++++=counts
as ^ql++++=as
normal ^jj++++=normal
and ^cc++++=and
the ^ati++++=the
way ^nn++++=way
socially ^rb++++=socially
disenfranchised ^jj+atrb++??+=disenfranchised
peoples ^nns++++=peoples
are ^vb+ber+aux++=are
rendered ^vpsv++agls+xvbnx+=rendered
abnormal ^jj++++=abnormal.
. ^zz++++=EXTRAWORD
People ^nns++++=People
of ^in++++=of
minority ^nn++++=minority
groups ^nns++++=groups
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
incarcerated ^vpsv++agls+xvbnx+=incarcerated,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
psychiatric ^jj+atrb+++=psychiatric
diagnosis ^nn++++=diagnosis,
, ^zz++++=EXTRAWORD
medicated ^nn+++??+=medicated,
, ^zz++++=EXTRAWORD
sterilized ^xvbn+++xvbn+=sterilized,
, ^zz++++=EXTRAWORD
thought ^vb+++xvbn+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
diseased ^jj+pred+++=diseased,
, ^zz++++=EXTRAWORD
mentally ^rb++++=mentally
and ^cc+phrs+++=and
emotionally ^rb++++=emotionally
impoverished ^jj+++xvbn+=impoverished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
than ^in++++=than
privileged ^jj+atrb+++=privileged
majority ^nn++++=majority
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
surprising ^jj+++xvbgx+=surprising
that ^tht+jcmp+++=that
many ^ap++++=many
clients ^nns++++=clients
seek ^vb++++=seek
out ^rp+pl+++=out
therapists ^nns+++??+=therapists
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
not ^xnot++not++=not
white ^jj++++=white,
, ^zz++++=EXTRAWORD
male ^jj++++=male,
, ^zz++++=EXTRAWORD
Christian ^jj++++=Christian,
, ^zz++++=EXTRAWORD
heterosexual ^jj++++=heterosexual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and/or
able ^jj++++=able-bodied
- ^zz++++=EXTRAWORD
bodied ^nn+++??+=EXTRAWORD
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
want ^vb++++=want
their ^pp$+pp3+++=their
struggles ^nns++++=struggles
with ^in++++=with
racialization ^nn+++??+=racialization,
, ^zz++++=EXTRAWORD
sexism ^nn+++??+=sexism,
, ^zz++++=EXTRAWORD
religious ^jj+atrb+++=religious
intolerance ^nn++++=intolerance,
, ^zz++++=EXTRAWORD
homophobia ^nn+++??+=homophobia,
, ^zz++++=EXTRAWORD
ableism ^nn+++??+=ableism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
to ^in++++=to
be ^vbi+vbi+aux++=be
dismissed ^vbd+++xvbn+=dismissed
as ^ql++++=as
superfluous ^jj++++=superfluous.
. ^zz++++=EXTRAWORD
