Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
we ^pp1a+pp1+++=we
predicted ^vbd+vpub++xvbn+=predicted
at ^rb++++=at
the ^ati++++=the
outset ^nn++++=outset
that ^tht+rel+obj++=that
a ^at++++=a
leader ^nn++++=leader
male ^jj+atrb+++=male's
's ^vbz+bez+vrb++0=EXTRAWORD
percentage ^nn++++=percentage
of ^in++++=of
aggressive ^jj+atrb+++=aggressive
takeovers ^nns+++??+=takeovers
and ^cc++++=and/or
intensity ^nn++++=intensity
of ^in++++=of
aggression ^nn++++=aggression
directed ^vwbn+++xvbn+=directed
toward ^in++++=toward
females ^nns++++=females
would ^md+prd+++=would
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
greater ^jjr+atrb+++=greater
number ^nn++++=number
of ^in++++=of
females ^nns++++=females
in ^in++++=in
his ^pp$+pp3+++=his
Omu ^np+++??+=OMU,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
find ^vb+vprv+++=find
such ^abl++++=such
a ^at++++=a
relationship ^nn++++=relationship.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
this ^dt+dem+++=this
result ^nn++++=result
may ^md+pos+++=may
reflect ^vb+vprv+++=reflect
our ^pp$+pp1+++=our
small ^jj+atrb+++=small
sample ^nn++++=sample
size ^nn++++=size
and ^cc++++=and
the ^ati++++=the
difficulty ^nn++++=difficulty
of ^in++++=of
observing ^xvbg+++xvbg+=observing
takeovers ^nns+++??+=takeovers
in ^in++++=in
the ^ati++++=the
wild ^jj++++=wild,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
also ^rb++splt++=also
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
leader ^nn++++=leader
male ^jj+atrb+++=male
aggression ^nn++++=aggression
directed ^vwbn+++xvbn+=directed
toward ^in++++=toward
females ^nns++++=females
outside ^in+cmpx+++=outside
of ^in"++++=of
the ^ati++++=the
takeover ^nn++++=takeover
period ^nn++++=period,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
coercive ^jj+atrb+++=coercive
herding ^nn++++=herding
and ^cc++++=and/or
threats ^nns++++=threats
and ^cc++++=and
aggression ^nn++++=aggression
when ^wrb+who+++=when
females ^nns++++=females
stray ^vb++++=stray
from ^in++++=from
the ^ati++++=the
Omu ^np+++??+=OMU,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
more ^rbr++++=more
important ^jj+pred+++=important
to ^to+jcmp+++=to
a ^at++++=a
leader ^nn++++=leader
male ^jj+atrb+++=male's
's ^vbz+bez+vrb++0=EXTRAWORD
ability ^nn++++=ability
to ^to+ncmp+++=to
acquire ^vbi++++=acquire
and ^cc+phrs+++=and
retain ^vb++++=retain
females ^nns++++=females
than ^in++++=than
aggression ^nn++++=aggression
during ^in++++=during
takeovers ^nns+++??+=takeovers
( ^zz++++=(
Kummer ^np++++=Kummer,
, ^zz++++=EXTRAWORD
1968 ^cd+date+++=1968
; ^zz++++=;
contra ^nn+++??+=contra
Swedell ^np+++??+=Swedell
and ^cc++++=and
Schreier ^np+++??+=Schreier,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
research ^nn++++=research
on ^in++++=on
aggressive ^jj+atrb+++=aggressive
male ^jj+atrb+++=male
herding ^nn++++=herding
and ^cc++++=and
coercion ^nn++++=coercion
toward ^in++++=toward
females ^nns++++=females
on ^in++++=on
a ^at++++=a
more ^rbr++++=more
regular ^jj+atrb+++=regular
basis ^nn++++=basis
will ^md+prd+++=will
provide ^vb+vsua+++=provide
additional ^jj+atrb+++=additional
insight ^nn++++=insight
into ^in++++=into
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
male ^jj+atrb+++=male
aggression ^nn++++=aggression
in ^in++++=in
conditioning ^nn++++=conditioning
females ^nns++++=females
and ^cc++++=and
its ^pp$+it+++=its
impact ^nn++++=impact
on ^in++++=on
both ^abx++++=both
male ^jj+atrb+++=male
and ^cc+phrs+++=and
female ^jj+atrb+++=female
fitness ^nn++++=fitness.
. ^zz++++=EXTRAWORD
