Similar ^jj+atrb+++=Similar
results ^nns++++=results
were ^vbd+bed+aux++=were
obtained ^vpsv++by+xvbnx+=obtained
by ^in++++=by
the ^ati++++=the
statistical ^jj+atrb+++=statistical
comparison ^nn++++=comparison
using ^vwbg+++xvbg+=using
z ^zz++++=z-scores
- ^zz++++=EXTRAWORD
scores ^nns++++=EXTRAWORD
of ^in++++=of
Mar ^vb++++=MAR-1-9B
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
9b ^cd++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
subspecies ^nns+++??+=subspecies
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
sylvanus ^nns+++??+=sylvanus
( ^zz++++=(excluding
excluding ^vbg+++xvbg+=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
s ^zz++++=s.
. ^zz++++=EXTRAWORD
prisca ^jj+++??+=prisca
whose ^whp+who+++=whose
sample ^nn++++=sample
size ^nn++++=size
is ^vbz+bez+vrb++=is
insufficient ^jj+pred+++=insufficient).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
does ^vbz+doz+aux++=does
not ^xnot++not++=not
detect ^vb++++=detect
significant ^jj+atrb+++=significant
differences ^nns++++=differences
of ^in++++=of
Mar ^vb++++=MAR-1-9B
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
9b ^cd++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
comparative ^jj+atrb+++=comparative
sample ^nn++++=sample
except ^in++++=except
of ^in++++=of
the ^ati++++=the
P ^zz++++=P
4 ^zz++++=4
Bl ^np+++??+=BL
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
s ^zz++++=s.
. ^zz++++=EXTRAWORD
sylvanus ^nns+++??+=sylvanus
and ^cc++++=and
M ^zz++++=M.
. ^zz++++=EXTRAWORD
s ^zz++++=s.
. ^zz++++=EXTRAWORD
pliocena ^nn+++??+=pliocena
( ^zz++++=(
Table ^np++++=Table
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
Mar ^vb++++=MAR-1-9B
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
9b ^cd++++=EXTRAWORD
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
similar ^jj++++=similar
with ^in++++=with
the ^ati++++=the
M ^zz++++=M
2 ^zz++++=2
Md ^np+++??+=MD
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
s ^zz++++=s.
. ^zz++++=EXTRAWORD
sylvanus ^nns+++??+=sylvanus
, ^zz++++=,
P ^zz++++=P
3 ^zz++++=3
Bl ^np+++??+=BL
and ^cc++++=and
M ^zz++++=M
3 ^zz++++=3
Bl ^np+++??+=BL
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
s ^zz++++=s.
. ^zz++++=EXTRAWORD
florentina ^nn+++??+=florentina
, ^zz++++=,
and ^cc+cls+++=and
M ^zz++++=M
1 ^zz++++=1
Bl ^np+++??+=BL
and ^cc++++=and
M ^zz++++=M
 ^zz++++=3
Md ^np++++=MD
Of ^in++++=of
M ^zz++++=M.
 ^zz++++=EXTRAWORD
S ^zz++++=s.
 ^zz++++=EXTRAWORD
Pliocena ^nn++++=pliocena
 ^zz++++=.
