Like ^in++++=Like
bulk ^nn++++=bulk
food ^nn++++=food,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
flavoring ^jj+atrb++??+=flavoring
plant ^nn++++=plant
taxa ^nn+++??+=taxa
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
human ^jj+atrb+++=human
occupation ^nn++++=occupation
layers ^nns++++=layers
Ah ^uh++++=AH
Vii ^np+++??+=VII
and ^cc++++=and
Vi ^np+++??+=VI
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
archaeological ^jj+atrb+++=archaeological
horizons ^nns++++=horizons.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
especially ^rb++++=especially
the ^ati++++=the
case ^nn++++=case
for ^in++++=for
the ^ati++++=the
sedadna ^nn+++??+=sedaDNA
dataset ^nn+++??+=dataset
( ^zz++++=(
Fig ^np++++=Fig.
. ^zz++++=EXTRAWORD
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
All ^abn++++=All
11 ^cd++++=11
flavoring ^nn+++??+=flavoring
plants ^nns++++=plants
detected ^vwbn+++xvbn+=detected
through ^in++++=through
pollen ^nn++++=pollen
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
one ^cd1++++=one
sample ^nn++++=sample
( ^zz++++=(depth
depth ^nn++++=EXTRAWORD
= ^zz++++==
4.26 ^cd++++=4.26
m ^zz++++=m),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
several ^ap++++=several
taxa ^jj+++??+=taxa
limited ^jj+++xvbn+=limited
to ^in++++=to
this ^dt+dem+++=this
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
A ^at++++=A.
. ^zz++++=EXTRAWORD
calamus ^nns+++??+=calamus
, ^zz++++=,
Knautia ^np+++??+=Knautia
arvensis ^nns+++??+=arvensis
type ^nn++++=type,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Thalictrum ^np+++??+=Thalictrum
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
pollen ^nn++++=pollen
from ^in++++=from
pine ^nn++++=pine
trees ^nns++++=trees
( ^zz++++=(
Pinus ^np++++=Pinus
sp ^&fo++++=sp.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
oak ^nn++++=oak
( ^zz++++=(
Quercus ^np++++=Quercus
frainetto ^nn+++??+=frainetto
type ^nn++++=type)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
throughout ^in++++=throughout
the ^ati++++=the
stratigraphy ^nn++++=stratigraphy
( ^zz++++=(although
although ^cs+con+++=EXTRAWORD
pollen ^nn++++=pollen
were ^vbd+bed+aux++=were
generally ^rb+down+splt++=generally
detected ^vpsv++agls+xvbnx+=detected
in ^in++++=in
very ^ql+amp+++=very
low ^jj+atrb+++=low
numbers ^nns++++=numbers),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
pine ^nn++++=pine
Dna ^np+++??+=DNA
remained ^vbd+++xvbn+=remained
absent ^jj++++=absent
from ^in++++=from
the ^ati++++=the
sedadna ^nn+++??+=sedaDNA
record ^nn++++=record
and ^cc++++=and
oak ^nn++++=oak
Dna ^np+++??+=DNA
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
documented ^vpsv++agls+xvbnx+=documented
in ^in++++=in
Ahs ^np+++??+=AHs
Vii ^np+++??+=VII
and ^cc++++=and
Vi ^np+++??+=VI
( ^zz++++=(
Som ^np++++=SOM
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
S2 ^np+++??+=S2
) ^zz++++=).
. ^zz++++=EXTRAWORD
Acorn ^np+++??+=Acorn
pieces ^nns++++=pieces
or ^cc++++=or
meal ^nn++++=meal
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
a ^at++++=a
thickener ^nn+++??+=thickener
in ^in++++=in
stews ^nns++++=stews
or ^cc++++=or
for ^in++++=for
making ^xvbg+++xvbg+=making
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
Roasted ^jj+atrb++xvbn+=Roasted
acorns ^nns+++??+=acorns
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
making ^xvbg+++xvbg+=making
acorn ^nn++++=acorn
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
oak ^nn++++=oak
also ^rb++++=also
has ^vbz+hvz+vrb++=has
many ^ap++++=many
other ^ap++++=other
potential ^jj++++=potential
uses ^vbz++++=uses,
, ^zz++++=EXTRAWORD
including ^in++++=including
medicinal ^jj++++=medicinal,
, ^zz++++=EXTRAWORD
repellent ^jj++++=repellent,
, ^zz++++=EXTRAWORD
ink ^nn++++=ink,
, ^zz++++=EXTRAWORD
basketry ^nn++++=basketry,
, ^zz++++=EXTRAWORD
gum ^np++++=gum,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
building ^jj+atrb++xvbg+=building
material ^nn++++=material
and ^cc++++=and
fuel ^nn++++=fuel
( ^zz++++=(
Fern ^np++++=Fern,
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997
) ^zz++++=).
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
plant ^nn++++=plant
taxa ^nn+++??+=taxa
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
flavoring ^vb+++??+=flavoring
include ^vb++++=include
Artemisia ^np+++??+=Artemisia
and ^cc++++=and
Astragalus ^np+++??+=Astragalus
, ^zz++++=,
both ^abx++++=both
large ^jj+atrb+++=large
and ^cc+phrs+++=and
diverse ^jj+atrb+++=diverse
plant ^nn++++=plant
genera ^nns++++=genera
encompassing ^nn+++??+=encompassing
many ^ap++++=many
species ^nns++++=species
that ^tht+rel+subj++=that
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
used ^vbd+++xvbn+=used
for ^in++++=for
medicinal ^jj+atrb+++=medicinal
purposes ^nns++++=purposes.
. ^zz++++=EXTRAWORD
