Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
government ^nn++++=government
expenditure ^nn++++=expenditure
on ^in++++=on
infrastructure ^nn+++??+=infrastructure,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
those ^dt+dem+++=those
pertaining ^jj+++xvbg+=pertaining
to ^in++++=to
human ^jj+atrb+++=human
development ^nn++++=development
index ^nn++++=index
( ^zz++++=(health,
health ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
education ^nn++++=education
and ^cc++++=and
standard ^nn++++=standard
of ^in++++=of
living ^xvbg+++xvbg+=living)
) ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
improved ^vpsv++agls+xvbnx+=improved,
, ^zz++++=EXTRAWORD
to ^to++++=to
enhance ^vbi++++=enhance
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
resilience ^nn++++=resilience
and ^cc++++=and
green ^jj+atrb+++=green
recovery ^nn++++=recovery
in ^in++++=in
the ^ati++++=the
continent ^nn++++=continent.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
studies ^nns++++=studies
should ^md+nec+++=should
investigate ^vb++++=investigate
indigenous ^jj+atrb+++=indigenous
adaptation ^nn++++=adaptation
strategies ^nns+++??+=strategies
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
effective ^jj+pred+++=effective
in ^in++++=in
responding ^nn++++=responding
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic
in ^in++++=in
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
results ^nns++++=results
from ^in++++=from
the ^ati++++=the
study ^nn++++=study
should ^md+nec+++=should
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
with ^in++++=with
caution ^nn++++=caution,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
adopted ^jj+atrb++xvbn+=adopted
sampling ^nn++++=sampling
technique ^nn++++=technique
makes ^vbz++++=makes
it ^pp3+it+++=it
difficult ^jj++++=difficult
to ^to+jcmp+++=to
generalize ^vbi++++=generalize.
. ^zz++++=EXTRAWORD
Again ^rb+cnj+++=Again,
, ^zz++++=EXTRAWORD
the ^ati++++=the
participants ^nns++++=participants
included ^vbd+++xvbn+=included
citizens ^nns++++=citizens
with ^in++++=with
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
internet ^nn+++??+=internet,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
representative ^nn++++=representative
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Notwithstanding ^rb+cnj+++=Notwithstanding
the ^ati++++=the
weakness ^nn++++=weakness
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
offer ^vb++++=offer
better ^jjr++++=better
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
factors ^nns++++=factors
influencing ^vwbg+++xvbg+=influencing
coping ^nvbg+++xvbg+=coping
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
studies ^nns++++=studies
involving ^vwbg+++xvbg+=involving
larger ^jjr+atrb+++=larger
sample ^nn++++=sample
size ^nn++++=size
with ^in++++=with
diversities ^nns++++=diversities
such ^abl++++=such
as ^ql++++=as
online ^vb+++??+=online
and ^cc++++=and
offline ^nn+++??+=offline,
, ^zz++++=EXTRAWORD
rural ^jj+atrb+++=rural
and ^cc+phrs+++=and
urban ^jj+atrb+++=urban
participants ^nns++++=participants
among ^in++++=among
others ^aps++++=others,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vbd+vprv++xvbn+=considered.
. ^zz++++=EXTRAWORD
