Like ^in++++=Like
Bain ^nn++++=Bain
( ^zz++++=(1936
1936 ^cd+date+++=EXTRAWORD
) ^zz++++=)
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Swan ^nn++++=Swan
s ^zz++++=s
orientation ^nn++++=orientation
is ^vbz+bez+vrb++=is
primarily ^rb+down+++=primarily
functionalist ^nn+++??+=functionalist.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
advocates ^nns++++=advocates
for ^in++++=for
community ^nn++++=community
integration ^nn++++=integration,
, ^zz++++=EXTRAWORD
adaptation ^nn++++=adaptation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pro ^nn++++=pro-social
- ^zz++++=EXTRAWORD
social ^jj+atrb+++=EXTRAWORD
belief ^nn++++=belief
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
current ^jj+atrb+++=current
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
illustrates ^vbz+vpub+++=illustrates,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
value ^nn++++=value
in ^in++++=in
cultivating ^xvbg+++xvbg+=cultivating
functional ^jj+atrb+++=functional
systems ^nns++++=systems
and ^cc++++=and
pro ^nn++++=pro-social
- ^zz++++=EXTRAWORD
social ^jj+atrb+++=EXTRAWORD
values ^nns++++=values.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
depend ^vb++++=depend
on ^in++++=on
institutions ^nns++++=institutions
to ^to++++=to
ensure ^vbi+vprv+++=ensure
access ^nn++++=access
to ^in++++=to
health ^nn++++=health
care ^nn++++=care,
, ^zz++++=EXTRAWORD
food ^nn++++=food
supply ^nn++++=supply
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
shelter ^nn++++=shelter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
values ^nns++++=values
Bain ^nn++++=Bain
and ^cc++++=and
Swan ^nn++++=Swan
endorse ^vb++++=endorse
are ^vb+ber+vrb++=are
white ^jj+pred+++=white,
, ^zz++++=EXTRAWORD
Christian ^jj++++=Christian,
, ^zz++++=EXTRAWORD
patriarchal ^jj++++=patriarchal,
, ^zz++++=EXTRAWORD
capitalist ^nn++++=capitalist
and ^cc++++=and,
, ^zz++++=EXTRAWORD
seemingly ^rb+cnj+++=seemingly,
, ^zz++++=EXTRAWORD
without ^in++++=without
attention ^nn++++=attention
to ^in++++=to
history ^nn++++=history,
, ^zz++++=EXTRAWORD
community ^nn++++=community,
, ^zz++++=EXTRAWORD
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
religious ^jj++++=religious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
individual ^jj+atrb+++=individual
differences ^nns++++=differences.
. ^zz++++=EXTRAWORD
Bain ^nn++++=Bain
s ^zz++++=s
( ^zz++++=(1936
1936 ^cd+date+++=EXTRAWORD
: ^zz++++=:214)
214 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
functionalist ^nn+++??+=functionalist
approach ^nn++++=approach
to ^in++++=to
sociotherapy ^nn+++??+=sociotherapy
is ^vbz+bez+vrb++=is
more ^rbr++++=more
obviously ^rb+amp+++=obviously
worrisome ^nn+++??+=worrisome
from ^in++++=from
a ^at++++=a
social ^jj+atrb+++=social
justice ^nn++++=justice
standpoint ^nn++++=standpoint.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
