Sedimentary ^np+++??+=Sedimentary
pisolitic ^nn+++??+=pisolitic
gravels ^nns++++=gravels
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
micritic ^nn+++??+=micritic
( ^zz++++=(b),
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
microsparitic ^nn+++??+=microsparitic
and ^cc++++=and
sparitic ^nn+++??+=sparitic
groundmass ^nns+++??+=groundmass
( ^zz++++=(c);
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
Rb3 ^np+++??+=RB3,
, ^zz++++=EXTRAWORD
Ppl ^np+++??+=PPL,
, ^zz++++=EXTRAWORD
quartzitic ^nn+++??+=quartzitic
silty ^nn+++??+=silty
sediment ^nn+++??+=sediment
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
rounded ^vprf+++xvbn+=rounded
aeolian ^nn+++??+=aeolian
sand ^nn++++=sand
grain ^nn++++=grain
( ^zz++++=(b),
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rare ^jj+atrb+++=rare
pisolitic ^nn+++??+=pisolitic
gravels ^nns++++=gravels
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
hyaline ^nn+++??+=hyaline
clay ^nn++++=clay
illuvial ^nn+++??+=illuvial
coating ^nn++++=coating
of ^in++++=of
voids ^nns+++??+=voids
( ^zz++++=(channels
channels ^nns++++=EXTRAWORD
and ^cc++++=and
chambers ^np++++=chambers)
) ^zz++++=EXTRAWORD
with ^in++++=with
high ^jj+atrb+++=high
birefringence ^nn+++??+=birefringence
; ^zz++++=;
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Rb3 ^np+++??+=RB3,
, ^zz++++=EXTRAWORD
Xpl ^np+++??+=XPL,
, ^zz++++=EXTRAWORD
quartzitic ^nn+++??+=quartzitic
silty ^nn+++??+=silty
sediment ^nn+++??+=sediment
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
rounded ^vprf+++xvbn+=rounded
aeolian ^nn+++??+=aeolian
sand ^nn++++=sand
grain ^nn++++=grain
( ^zz++++=(b),
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rare ^jj+atrb+++=rare
pisolitic ^nn+++??+=pisolitic
gravels ^nns++++=gravels
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
hyaline ^nn+++??+=hyaline
clay ^nn++++=clay
illuvial ^nn+++??+=illuvial
coating ^nn++++=coating
of ^in++++=of
voids ^nns+++??+=voids
( ^zz++++=(channels
channels ^nns++++=EXTRAWORD
and ^cc++++=and
chambers ^np++++=chambers)
) ^zz++++=EXTRAWORD
with ^in++++=with
high ^jj+atrb+++=high
birefringence ^nn+++??+=birefringence;
; ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Rb3 ^np+++??+=RB3,
, ^zz++++=EXTRAWORD
Ppl ^np+++??+=PPL,
, ^zz++++=EXTRAWORD
quartzitic ^nn+++??+=quartzitic
silty ^nn+++??+=silty
sediment ^nn+++??+=sediment
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
quartz ^nn++++=quartz
coarse ^jj+atrb+++=coarse
grain ^nn++++=grain
( ^zz++++=(b),
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
pisolitic ^nn+++??+=pisolitic
gravels ^nns++++=gravels
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
hyaline ^nn+++??+=hyaline
clay ^nn++++=clay
illuvial ^nn+++??+=illuvial
coating ^nn++++=coating
of ^in++++=of
voids ^nns+++??+=voids
( ^zz++++=(channels);
channels ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Rb3 ^np+++??+=RB3,
, ^zz++++=EXTRAWORD
Ppl ^np+++??+=PPL,
, ^zz++++=EXTRAWORD
quartzitic ^nn+++??+=quartzitic
silty ^nn+++??+=silty
sediment ^nn+++??+=sediment
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
quartz ^nn++++=quartz
coarse ^jj+atrb+++=coarse
grain ^nn++++=grain
( ^zz++++=(b),
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
pisolitic ^nn+++??+=pisolitic
gravels ^nns++++=gravels
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
hyaline ^nn+++??+=hyaline
clay ^nn++++=clay
illuvial ^nn+++??+=illuvial
coating ^nn++++=coating
of ^in++++=of
voids ^nns+++??+=voids
( ^zz++++=(channels).
channels ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
( ^zz++++=(For
for ^in++++=EXTRAWORD
interpretation ^nn++++=interpretation
of ^in++++=of
the ^ati++++=the
references ^nns++++=references
to ^in++++=to
color ^nn+++??+=color
in ^in++++=in
this ^dt+dem+++=this
figure ^nn++++=figure
legend ^nn++++=legend,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reader ^nn++++=reader
is ^vbz+bez+aux++=is
referred ^vbd+++xvbn+=referred
to ^in++++=to
the ^ati++++=the
web ^nn++++=Web
version ^nn++++=version
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
