Both ^abx++++=Both
groups ^nns++++=groups
of ^in++++=of
samples ^nns++++=samples
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then
centrifuged ^nn+++??+=centrifuged
at ^rb++++=at
1691 ^cd+date+++=1691
g ^zz++++=g
using ^vwbg+++xvbg+=using
a ^at++++=a
Heraeus ^np+++??+=Heraeus
Megafuge ^np+++??+=MEGAFUGE
16 ^cd++++=16
with ^in++++=with
a ^at++++=a
Tx ^np+++??+=TX-400
- ^zz++++=EXTRAWORD
400 ^cd++++=EXTRAWORD
Swinging ^jj+atrb++xvbg+=Swinging
Bucket ^nn++++=Bucket
Rotors ^nns++++=Rotors
for ^in++++=for
10 ^cd++++=10
min ^nnu++++=min.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
samples ^nns++++=samples
were ^vbd+bed+aux++=were
mounted ^vpsv++agls+xvbnx+=mounted
in ^in++++=in
a ^at++++=a
25 ^cd++++=25%
% ^zz++++=EXTRAWORD
glycerine ^nn+++??+=glycerine
solution ^nn++++=solution
water ^nn++++=water
on ^in++++=on
a ^at++++=a
slide ^nn++++=slide
in ^in++++=in
a ^at++++=a
Bio ^np+++??+=Bio
Air ^nn++++=Air
Aura ^nn++++=Aura
Mini ^np+++??+=Mini
laminar ^nn+++??+=laminar
flow ^nn++++=flow
and ^cc++++=and
examined ^vpsv++agls+xvbn+=examined
under ^in++++=under
brightfield ^nn+++??+=brightfield
and ^cc++++=and
cross ^jj++++=cross-polarized
- ^zz++++=EXTRAWORD
polarized ^nn+++??+=EXTRAWORD
light ^jj++++=light
on ^in++++=on
a ^at++++=a
Zeiss ^np+++??+=Zeiss
Axioscope ^np+++??+=Axioscope
microscope ^nn++++=microscope
at ^in++++=at
400 ^cd++++=400
magnification ^nn+++??+=magnification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
slide ^nn++++=slide
was ^vbd+bedz+aux++=was
examined ^vpsv++agls+xvbnx+=examined
and ^cc++++=and
the ^ati++++=the
encountered ^jj+atrb++xvbn+=encountered
microremains ^nns+++??+=microremains
were ^vbd+bed+aux++=were
photographed ^vpsv++agls+xvbnx+=photographed,
, ^zz++++=EXTRAWORD
described ^j+++xvbn+=described,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
documented ^vbd+++xvbn+=documented
using ^vbg+++xvbg+=using
the ^ati++++=the
International ^jj+atrb+++=International
Code ^nn++++=Code
for ^in++++=for
Starch ^np+++??+=Starch
Nomenclature ^np+++??+=Nomenclature
( ^zz++++=(
Icsn ^np++++=ICSN,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=)
and ^cc++++=and
International ^jj+atrb+++=International
Code ^nn++++=Code
of ^in++++=of
Phytolith ^np+++??+=Phytolith
Nomenclature ^np+++??+=Nomenclature
 ^zz++++=(
Madella ^np++++=Madella
Et ^&fw++++=et
Al ^&fw++++=al.,
 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
005 ^cd++++=2005
	 ^zz++++=).
 ^zz++++=EXTRAWORD
