Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
16 ^cd++++=16
matches ^nns++++=matches
for ^in++++=for
5d3a ^cd++++=5D3A.
. ^zz++++=EXTRAWORD
16 ^cd++++=16
or ^cc++++=or
more ^ql++++=more
matches ^nns++++=matches
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
42 ^cd++++=42/1000
times ^nns++++=times
with ^in++++=with
simulated ^nn+++??+=simulated
line ^nn++++=line
ages ^nns++++=ages
when ^wrb+who+++=when
using ^vbg+++xvbg+=using
a ^at++++=a
7 ^zz++++=7-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
matching ^vwbg+++xvbg+=matching
window ^nn++++=window
( ^zz++++=(
p ^zz++++=p
= ^zz++++==
0.042 ^nn+++??+=0.042;
; ^zz++++=EXTRAWORD
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
4 ^zz++++=4
) ^zz++++=),
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
117 ^cd++++=117/1000
times ^nns++++=times
using ^vwbg+++xvbg+=using
a ^at++++=a
9 ^zz++++=9-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
matching ^vwbg+++xvbg+=matching
window ^nn++++=window
( ^zz++++=(
p ^zz++++=p
= ^zz++++==
0.117 ^nn++++=0.117;
; ^zz++++=EXTRAWORD
som ^np++++=SOM
fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
s1 ^np++++=S1
) ^zz++++=).
. ^zz++++=EXTRAWORD
