Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
a ^at++++=a
few ^ap++++=few
layers ^nns++++=layers
where ^wrb+who+++=where
both ^abx++++=both
records ^vbz+vpub+++=records
overlap ^nn++++=overlap.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
assumed ^jj+atrb++xvbn+=assumed
higher ^jjr+atrb+++=higher
potential ^nn++++=potential
of ^in++++=of
plants ^nns++++=plants
to ^to++++=to
grow ^vbi++++=grow
at ^rb++++=at
the ^ati++++=the
cave ^nn++++=cave
entrance ^nn++++=entrance
or ^cc++++=or
inside ^jjb++++=inside
the ^ati++++=the
cave ^nn++++=cave
during ^in++++=during
periods ^nns++++=periods
of ^in++++=of
reduced ^jj+atrb++xvbn+=reduced
occupation ^nn++++=occupation,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
layers ^nns++++=layers
indicating ^vwbg+vprv++xvbg+=indicating
overlap ^nn++++=overlap
among ^in++++=among
proxies ^nns+++??+=proxies
to ^to++++=to
be ^vbi++vrb++=be
those ^dt+dem+++=those
associated ^jj+++xvbn+=associated
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
human ^jj+atrb+++=human
occupation ^nn++++=occupation.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
lower ^jjr+atrb+++=lower
abundance ^nn++++=abundance
and ^cc++++=and
diversity ^nn++++=diversity
of ^in++++=of
plants ^nns++++=plants
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
archaeologically ^nn+++??+=archaeologically
sterile ^jj+atrb+++=sterile
layers ^nns++++=layers
of ^in++++=of
Ah ^uh++++=AH
V ^zz++++=V
and ^cc++++=and
Iv ^np+++??+=IV
( ^zz++++=(
Figure ^np++++=Figure
2 ^zz++++=2
, ^zz++++=,
Figure ^nn++++=Figure
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
palynological ^nn+++??+=palynological
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
including ^in++++=including
investigation ^nn++++=investigation
of ^in++++=of
nonpollen ^nn+++??+=nonpollen
palynomorphs ^nns+++??+=palynomorphs,
, ^zz++++=EXTRAWORD
also ^rb++++=also
reported ^vbd+vpub++xvbn+=reported
fewer ^ap++++=fewer
other ^ap++++=other
botanical ^nn+++??+=botanical
remains ^nns++++=remains
in ^in++++=in
these ^dt+dem+++=these
sterile ^jj+atrb+++=sterile
layers ^nns++++=layers
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
rich ^jj+atrb+++=rich
layers ^nns++++=layers
( ^zz++++=(
Kandel ^np++++=Kandel
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
sum ^nn++++=sum,
, ^zz++++=EXTRAWORD
comparison ^nn++++=comparison
of ^in++++=of
the ^ati++++=the
sedadna ^nn+++??+=sedaDNA
and ^cc++++=and
pollen ^nn++++=pollen
proxies ^nns+++??+=proxies
suggests ^vbz+vpub+++=suggests
the ^ati++++=the
plant ^nn++++=plant
diversity ^nn++++=diversity
we ^pp1a+pp1+++=we
recovered ^vbd+++xvbn+=recovered
at ^rb++++=at
Aghitu ^np+++??+=Aghitu-3
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
Cave ^nn++++=Cave
was ^vbd+bedz+aux++=was
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
animal ^nn++++=animal
or ^cc++++=or
human ^jj+atrb+++=human
occupation ^nn++++=occupation,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
plants ^nns++++=plants
growing ^vwbg+++xvbg+=growing
at ^rb++++=at
the ^ati++++=the
cave ^nn++++=cave
entrance ^nn++++=entrance
or ^cc++++=or
inside ^jjb++++=inside
the ^ati++++=the
cave ^nn++++=cave
on ^in++++=on
the ^ati++++=the
recovered ^vbd+++xvbn+=recovered
plant ^nn++++=plant
diversity ^nn++++=diversity
was ^vbd+bedz+aux++=was
limited ^vwbn+++xvbn+=limited.
. ^zz++++=EXTRAWORD
