Figure ^nn++++=Figure
5 ^zz++++=5
shows ^nns++++=shows
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
species ^nns++++=species
consumed ^vwbn+++xvbn+=consumed
and ^cc++++=and
their ^pp$+pp3+++=their
origin ^nn++++=origin;
; ^zz++++=EXTRAWORD
Pp ^nns++++=PP
and ^cc++++=and
Fe ^&fo++++=FE
showed ^vbd+vprv++xvbn+=showed
the ^ati++++=the
highest ^jjt+atrb+++=highest
percentage ^nn++++=percentage
of ^in++++=of
native ^jj+atrb+++=native
species ^nns++++=species
consumed ^vwbn+++xvbn+=consumed
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
5a ^cd++++=5a-b).
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
higher ^jjr+atrb+++=higher
number ^nn++++=number
of ^in++++=of
species ^nn++++=species
of ^in++++=of
a ^at++++=a
shrub ^nn++++=shrub
or ^cc++++=or
sub ^nn++++=sub-shrub
- ^zz++++=EXTRAWORD
shrub ^nn++++=EXTRAWORD
habit ^nn++++=habit
was ^vbd+bedz+aux++=was
consumed ^vpsv++agls+xvbnx+=consumed
than ^in++++=than
for ^in++++=for
the ^ati++++=the
grasses ^nns++++=grasses
( ^zz++++=(PP:
pp ^nnu++++=EXTRAWORD
: ^zz++++=EXTRAWORD
33 ^cd++++=33
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
shrubs ^nns++++=shrubs
or ^cc++++=or
sub ^nn++++=sub-shrubs
- ^zz++++=EXTRAWORD
shrubs ^nns++++=EXTRAWORD
and ^cc++++=and
25 ^cd++++=25
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
of ^in++++=of
grasses ^nns++++=grasses;
; ^zz++++=EXTRAWORD
Fe ^&fo++++=FE:
: ^zz++++=EXTRAWORD
20 ^cd++++=20
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
15 ^cd++++=15
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Rz ^np+++??+=RZ
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
5d ^cd++++=5d),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
low ^jj+atrb+++=low
percentage ^nn++++=percentage
of ^in++++=of
native ^jj+atrb+++=native
species ^nns++++=species
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
consumed ^vpsv++agls+xvbnx+=consumed,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
mostly ^rb++++=mostly
herbaceous ^jj+pred+++=herbaceous
( ^zz++++=(25
25 ^cd++++=EXTRAWORD
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
herbaceous ^jj+atrb+++=herbaceous
dicots ^nns+++??+=dicots,
, ^zz++++=EXTRAWORD
8 ^zz++++=8
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
grasses ^nns++++=grasses),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
contrasting ^jj+++xvbg+=contrasting
with ^in++++=with
that ^dt+pdem+++=that
obtained ^vbd+++xvbn+=obtained
for ^in++++=for
the ^ati++++=the
total ^jj+atrb+++=total
area ^nn++++=area
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3b ^cd++++=3b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
