As ^in++++=As
mentioned ^nn++++=mentioned
in ^in++++=in
previous ^jj+atrb+++=previous
paragraphs ^nns++++=paragraphs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
percentage ^nn++++=percentage
of ^in++++=of
exotic ^jj+atrb+++=exotic
species ^nns++++=species
increases ^vbz++++=increases
in ^in++++=in
places ^nns++++=places
where ^wrb+who+++=where
some ^dti++++=some
type ^nn++++=type
of ^in++++=of
cultivation ^nn++++=cultivation
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
transit ^nn++++=transit
of ^in++++=of
machinery ^nn++++=machinery
is ^vbz+bez+vrb++=is
frequent ^jj+pred+++=frequent
or ^cc++++=or
in ^in++++=in
pastures ^nns++++=pastures
with ^in++++=with
excessive ^jj+atrb+++=excessive
stocking ^nn++++=stocking
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
brings ^vbz++++=brings
with ^in++++=with
it ^pp3+it+++=it
the ^ati++++=the
problem ^nn++++=problem
that ^tht+rel+++=that
66 ^cd++++=66%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
species ^nn++++=species
( ^zz++++=(51
51 ^cd++++=EXTRAWORD
sp ^&fo++++=sp.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
toxic ^jj+pred+++=toxic
or ^cc++++=or
potentially ^rb++++=potentially
toxic ^jj++++=toxic
to ^in++++=to
cattle ^nns++++=cattle.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
authors ^nns++++=authors
( ^zz++++=(Krikor
krikor ^nn+++??+=EXTRAWORD
& ^zz++++=&
Hierro ^np+++??+=Hierro
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Peralta ^np+++??+=Peralta
& ^zz++++=&
Klich ^np+++??+=Klich,
, ^zz++++=EXTRAWORD
in ^in++++=in
press ^nn++++=press)
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
in ^in++++=in
agreement ^nn++++=agreement
with ^in++++=with
this ^dt+pdem+++=this
and ^cc++++=and
they ^pp3a+pp3+++=they
expressed ^vbd+vpub++xvbnx+=expressed
a ^at++++=a
warning ^nn++++=warning
about ^in++++=about
the ^ati++++=the
introduction ^nn++++=introduction
of ^in++++=of
adventitious ^jj+atrb+++=adventitious
species ^nn++++=species
in ^in++++=in
the ^ati++++=the
disturbed ^jj+atrb++xvbn+=disturbed
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
which ^whp+rel+pied++=which
present ^vb++++=present
these ^dt+dem+++=these
unfavourable ^jj+atrb+++=unfavourable
and ^cc+phrs+++=and
harmful ^jj+atrb+++=harmful
characteristics ^nns++++=characteristics
for ^in++++=for
cattle ^nns++++=cattle
production ^nn++++=production,
, ^zz++++=EXTRAWORD
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3c ^cd++++=3c).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Examples ^nns++++=Examples
of ^in++++=of
these ^dt+dem+++=these
adventitious ^jj+atrb+++=adventitious
species ^nn++++=species
are ^vb+ber+vrb++=are
Conium ^np+++??+=Conium
maculatum ^nn+++??+=maculatum
L ^zz++++=L.
. ^zz++++=EXTRAWORD
( ^zz++++=(Apiaceae),
apiaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Diplotaxis ^np+++??+=Diplotaxis
tenuifolia ^nn+++??+=tenuifolia
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Dc ^&fo++++=DC.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hirschfeldia ^np+++??+=Hirschfeldia
incana ^nn+++??+=incana
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Lagr. ^np+++??+=Lagr.-Foss.
- ^zz++++=EXTRAWORD
foss ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sisymbrium ^np+++??+=Sisymbrium
irio ^nn+++??+=irio
L ^zz++++=L.
. ^zz++++=EXTRAWORD
( ^zz++++=(Brassicaceae),
brassicaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Vicia ^np+++??+=Vicia
villosa ^nn+++??+=villosa
Roth ^np+++??+=Roth.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Trifolium ^np+++??+=Trifolium
repens ^nns+++??+=repens
L ^zz++++=L.
. ^zz++++=EXTRAWORD
( ^zz++++=(Fabaceae)
fabaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Cynodon ^np+++??+=Cynodon
Dactylon ^nn++++=dactylon
 ^zz++++=(L.)
L ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Pers ^np++++=Pers.
 ^zz++++=EXTRAWORD
 ^zz++++=(Poaceae).
Poaceae ^np++++=EXTRAWORD
	. ^nn++++=EXTRAWORD
