Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
objective ^nn++++=objective
was ^vbd+bedz+aux++=was
to ^to++++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
morpho ^nn+++??+=morpho-physiological
- ^zz++++=EXTRAWORD
physiological ^jj+atrb+++=EXTRAWORD
performance ^nn++++=performance
of ^in++++=of
two ^cd++++=two
Mikania ^np+++??+=Mikania
species ^nn++++=species
( ^zz++++=(Mikania
mikania ^nn+++??+=EXTRAWORD
glomerata ^nn+++??+=glomerata
and ^cc++++=and
Mikania ^np+++??+=Mikania
laevigata ^nn+++??+=laevigata)
) ^zz++++=EXTRAWORD
under ^in++++=under
four ^cd++++=four
different ^jj+atrb+++=different
levels ^nns++++=levels
of ^in++++=of
retention ^nn++++=retention
of ^in++++=of
solar ^jj+atrb+++=solar
radiation ^nn++++=radiation
flux ^nn++++=flux:
: ^zz++++=EXTRAWORD
full ^jj+atrb+++=full
sun ^nn++++=sun
( ^zz++++=(I0),
i0 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
25 ^cd++++=25
( ^zz++++=(I25),
i25 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
50 ^cd++++=50
( ^zz++++=(I50),
i50 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
75 ^cd++++=75%
% ^zz++++=EXTRAWORD
( ^zz++++=(I75).
i75 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
main ^jjb+atrb+++=main
hypothesis ^nn++++=hypothesis
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
both ^abx++++=both
Mikania ^np+++??+=Mikania
species ^nn++++=species
will ^md+prd+++=will
be ^vb+be+aux++=be
benefited ^vpsv++agls+xvbnx+=benefited
from ^in++++=from
high ^jj+atrb+++=high
radiation ^nn++++=radiation
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
enhanced ^vpsv++agls+xvbn+=enhanced
photosynthesis ^nns++++=photosynthesis
and ^cc++++=and
biomass ^nns++++=biomass
production ^nn++++=production.
. ^zz++++=EXTRAWORD
