As ^in++++=As
a ^at++++=a
result ^nn++++=result
of ^in++++=of
previous ^jj+atrb+++=previous
research ^nn++++=research
( ^zz++++=(Drovetta
drovetta ^nn+++??+=EXTRAWORD
2015a ^cd++++=2015a;
; ^zz++++=EXTRAWORD
2015b ^cd++++=2015b),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
put ^vprf+++xvbnx+=put
forth ^np++++=forth
that ^tht+rel+obj++=that
the ^ati++++=the
stigma ^nn++++=stigma
of ^in++++=of
abortion ^nn++++=abortion
constitutes ^vbz++++=constitutes
a ^at++++=a
decisive ^jj+atrb+++=decisive
factor ^nn++++=factor,
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
prove ^vb+vprv+++=prove
an ^at++++=an
obstacle ^nn++++=obstacle
to ^in++++=to
abortion ^nn++++=abortion.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
refer ^vb++++=refer
to ^in++++=to
the ^ati++++=the
stigma ^nn++++=stigma
that ^tht+rel+++=that
healthcare ^nn+++??+=healthcare
professionals ^nns++++=professionals
are ^vb+ber+vrb++=are
afraid ^jj+pred+++=afraid
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering
from ^in++++=from
in ^in++++=in
case ^nn++++=case
they ^pp3a+pp3+++=they
help ^vb++++=help
women ^nns++++=women
or ^cc++++=or
girls ^nns++++=girls
seek ^vb++++=seek
a ^at++++=a
nonpunishable ^nn++++=nonpunishable
abortion ^nn++++=abortion.
. ^zz++++=EXTRAWORD
