Affirmative ^jj+atrb+++=Affirmative
policies ^nns++++=policies
arise ^vb++++=arise
from ^in++++=from
the ^ati++++=the
need ^vb++++=need
to ^to+vcmp+++=to
favor ^vb++++=favor
some ^dti++++=some
sectors ^nns++++=sectors
of ^in++++=of
society ^nn++++=society
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
suffered ^vprf+++xvbnx+=suffered
or ^cc+phrs+++=or
continue ^vb++++=continue
to ^to++++=to
suffer ^vbi++++=suffer
from ^in++++=from
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
discrimination ^nn++++=discrimination,
, ^zz++++=EXTRAWORD
injustice ^nn++++=injustice,
, ^zz++++=EXTRAWORD
racism ^nn+++??+=racism,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
exclusion ^nn++++=exclusion;
; ^zz++++=EXTRAWORD
among ^in++++=among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
in ^in++++=in
Special ^jj+atrb+++=Special
Education ^nn++++=Education,
, ^zz++++=EXTRAWORD
students ^nns++++=students
with ^in++++=with
gifted ^jj+atrb+++=gifted
characteristics ^nns++++=characteristics
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
invisible ^jj++++=invisible
to ^in++++=to
teachers ^nns++++=teachers,
, ^zz++++=EXTRAWORD
guardians ^nns++++=guardians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
society ^nn++++=society
in ^in++++=in
general ^nn++++=general.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trinomial ^nn+++??+=trinomial
gifted ^jj++++=gifted-black-female
- ^zz++++=EXTRAWORD
black ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
female ^nn++++=EXTRAWORD
presents ^vbz++++=presents
threefold ^jj+atrb+++=threefold
invisibility ^nn+++??+=invisibility
in ^in++++=in
our ^pp$+pp1+++=our
world ^nn++++=world.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
analyzes ^nns+++??+=analyzes
the ^ati++++=the
factors ^nns++++=factors
that ^tht+rel+obj++=that
trigger ^nn++++=trigger
the ^ati++++=the
invisibility ^nn+++??+=invisibility
of ^in++++=of
gifted ^jj+atrb+++=gifted
black ^jj+atrb+++=black
women ^nns++++=women
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
schools ^nns++++=schools.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
use ^nn++++=use
descriptive ^jj+atrb+++=descriptive
statistics ^nns++++=statistics
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
microdata ^nn++++=microdata
collected ^vwbn+++xvbn+=collected
by ^in++++=by
surveys ^nns++++=surveys,
, ^zz++++=EXTRAWORD
evaluations ^nns+++??+=evaluations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exams ^nns++++=exams
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
by ^in++++=by
the ^ati++++=the
national ^jj+atrb+++=National
institute ^nn++++=Institute
of ^in++++=of
educational ^jj+atrb+++=Educational
studies ^nns++++=Studies
and ^cc++++=and
research ^nn++++=Research.
. ^zz++++=EXTRAWORD
