Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
legitimizing ^nn+++??+=legitimizing
myths ^nns++++=myths
and ^cc++++=and
society ^nn++++=society's
's ^vbz+bez+vrb++0=EXTRAWORD
latent ^jj+atrb+++=latent
and ^cc+phrs+++=and
subconscious ^jj+atrb+++=subconscious
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
maintain ^vb+vpub+tht0++=maintain
stratified ^jj+atrb+++=stratified
social ^jj+atrb+++=social
hierarchies ^nns+++??+=hierarchies
can ^md+pos+++=can
influence ^vb++++=influence
the ^ati++++=the
appointment ^nn++++=appointment
and ^cc++++=and
identification ^nn++++=identification
of ^in++++=of
black ^np++++=black
D&t ^np+++??+=D&T
students ^nns++++=students
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
educators ^nns++++=educators
should ^md+nec+++=should
be ^vb+be+vrb++=be
aware ^jj+pred+++=aware
of ^in++++=of
the ^ati++++=the
possible ^jj+atrb+++=possible
subconscious ^jj+atrb+++=subconscious
preference ^nn++++=preference
for ^in++++=for
hierarchical ^nn+++??+=hierarchical
social ^jj+atrb+++=social
structures ^nns++++=structures
in ^in+cmpx+++=in
the ^in"++++=the
process ^in"++++=process
of ^in"++++=of
identifying ^jj+atrb+++=identifying
underrepresented ^nn++++=underrepresented
students ^nns++++=students
( ^zz++++=(Acosta
acosta ^nn++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
