Since ^cs+sub+++=Since
the ^ati++++=the
Scielo ^np+++??+=SciELO
Network ^nn++++=Network
has ^vbz+hvz+aux++=has
now ^rn+tm+splt++=now
been ^vprf+ben+aux+xvbnx+=been
operating ^vbg+++xvbgx+=operating
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
20 ^cd++++=20
years ^nns++++=years,,
, ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
its ^pp$+it+++=its
scientific ^jj+atrb+++=scientific
output ^nn++++=output
on ^in++++=on
the ^ati++++=the
Public ^nn++++=Public
and ^cc++++=and
Collective ^jj+atrb+++=Collective
Health ^nn++++=Health
areas ^nns++++=areas
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
it ^pp3+it+++=it
possible ^jj++++=possible
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out
which ^whp+who+++=which
countries ^nns++++=countries
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
are ^vb+ber+vrb++=are
most ^ql+emph+++=most
productive ^jj++++=productive.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
can ^md+pos+++=can
be ^vb+be+aux++=be
determined ^vpsv++by+xvbnx+=determined
by ^in++++=by
the ^ati++++=the
citation ^nn+++??+=citation
flow ^nn++++=flow
which ^whp+rel+subj++=which
takes ^vbz++++=takes
into ^in++++=into
account ^nn++++=account:
: ^zz++++=EXTRAWORD
a ^at++++=a)
) ^zz++++=EXTRAWORD
the ^ati++++=the
language ^nn++++=language
of ^in++++=of
the ^ati++++=the
cited ^jj+atrb++xvbn+=cited
articles ^nns++++=articles
; ^zz++++=;
and ^cc+cls+++=and
b ^zz++++=b)
) ^zz++++=EXTRAWORD
the ^ati++++=the
representativeness ^nns+++??+=representativeness
of ^in++++=of
Scielo ^np+++??+=SciELO
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
with ^in++++=with
regard ^nn++++=regard
to ^in++++=to
the ^ati++++=the
databases ^nns+++??+=databases
in ^in++++=in
the ^ati++++=the
Wos ^np+++??+=WoS
platform ^nn++++=platform.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
underlines ^vbz++++=underlines
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
a ^at++++=a
database ^nn+++??+=database
such ^abl++++=such
as ^ql++++=as
Scielo ^np+++??+=SciELO
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
research ^nn++++=research
area ^nn++++=area
concerned ^vwbn+++xvbn+=concerned
with ^in++++=with
local ^jj+atrb+++=local
problems ^nns++++=problems,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
best ^jjt+pred+++=best
investigated ^vpsv++by+xvbn+=investigated
by ^in++++=by
nationallyaffiliated ^nn+++??+=nationallyaffiliated
researchers ^nns+++??+=researchers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
evident ^jj+pred+++=evident
in ^in++++=in
regional ^jj+atrb+++=regional
or ^cc+phrs+++=or
local ^jj+atrb+++=local
communities ^nns++++=communities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
native ^jj+atrb+++=native
languages ^nns++++=languages
play ^vb++++=play
an ^at++++=an
important ^jj+atrb+++=important
role ^nn++++=role.
. ^zz++++=EXTRAWORD
