Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study's
's ^$++++=EXTRAWORD
objective ^nn++++=objective
was ^vbd+bedz+vrb++=was
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
strategies ^nns+++??+=strategies
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
federative ^nn+++??+=federative
units ^nns++++=units'
' ^zz++++=EXTRAWORD
governments ^nns++++=governments,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
indicators ^nns++++=indicators
adopted ^vbd+++xvbn+=adopted
in ^in++++=in
the ^ati++++=the
normative ^nn+++??+=normative
bases ^nns++++=bases,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
guided ^vbd+++xvbn+=guided
the ^ati++++=the
resumption ^nn++++=resumption
of ^in++++=of
activities ^nns++++=activities
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
offer ^vbi++++=offer
a ^at++++=a
scientific ^jj+atrb+++=scientific
basis ^nn++++=basis
to ^in++++=to
public ^jj+atrb+++=public
managers ^nns++++=managers
about ^in++++=about
the ^ati++++=the
complex ^jj+atrb+++=complex
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
process ^nn++++=process
involving ^vbg+++xvbg+=involving
the ^ati++++=the
relaxation ^nn++++=relaxation
of ^in++++=of
social ^jj+atrb+++=social
isolation ^nn++++=isolation
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
