The ^ati++++=The
methodology ^nn++++=methodology
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
Engel ^np+++??+=Engel
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
adapted ^vpsv++agls+xvbnx+=adapted
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
surface ^nn++++=surface
disinfectant ^jj+atrb+++=disinfectant
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
Plastic ^nn++++=Plastic,
, ^zz++++=EXTRAWORD
steel ^nn++++=steel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ceramics ^nns++++=ceramics
surfaces ^nns++++=surfaces
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed
and ^cc+phrs+++=and
sterilized ^vpsv++agls+xvbn+=sterilized
for ^in++++=for
use ^nn++++=use.
. ^zz++++=EXTRAWORD
Afterwards ^rb+cnj+++=Afterwards,
, ^zz++++=EXTRAWORD
the ^ati++++=the
surfaces ^nns++++=surfaces
were ^vbd+bed+aux++=were
left ^vpsv++agls+xvbnx+=left
in ^in++++=in
contact ^nn++++=contact
with ^in++++=with
the ^ati++++=the
inoculum ^nn+++??+=inoculum
in ^in++++=in
a ^at++++=a
concentration ^nn++++=concentration
of ^in++++=of
approximately ^rb+down+++=approximately
108 ^cd++++=108
Ufc ^np+++??+=UFC/mL
during ^in++++=during
30 ^cd++++=30
minutes ^nns++++=minutes
for ^in++++=for
biofilm ^nn+++??+=biofilm
formation ^nn++++=formation.
. ^zz++++=EXTRAWORD
Posteriorly ^np+++??+=Posteriorly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
disinfectant ^jj+atrb+++=disinfectant
solutions ^nns++++=solutions
were ^vbd+bed+aux++=were
sprayed ^vpsv++agls+xvbnx+=sprayed
at ^in++++=at
100 ^cd++++=100
mg ^nnu++++=mg/mL
and ^cc++++=and
control ^nn++++=control
product ^nn++++=product,
, ^zz++++=EXTRAWORD
for ^in++++=for
15 ^cd++++=15
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
area ^nn++++=area
of ^in++++=of
1 ^zz++++=1
cm3 ^nn+++??+=cm3.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
the ^ati++++=the
samples ^nns++++=samples
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
with ^in++++=with
a ^at++++=a
sterilized ^jj+atrb++xvbn+=sterilized
swab ^nn++++=swab,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
microorganisms ^nns+++??+=microorganisms
was ^vbd+bedz+vrb++=was
quantified ^nn+++??+=quantified
by ^in++++=by
the ^ati++++=the
plate ^nn++++=plate
count ^nn++++=count
technique ^nn++++=technique
( ^zz++++=(TORTORA;
tortora ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
funke ^np++++=FUNKE;
; ^zz++++=EXTRAWORD
case ^nn++++=CASE,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
