Most ^ql+emph+++=Most
indicators ^nns++++=indicators,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
isolately ^nn+++??+=isolately,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
linked ^vbd+++xvbn+=linked
to ^in++++=to
the ^ati++++=the
structuring ^nn++++=structuring
of ^in++++=of
compound ^jj+atrb+++=compound
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
documents ^nns++++=documents
( ^zz++++=(83.33%)
83.33 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
adopted ^vprf+++xvbn+=adopted
up ^rp++++=up
to ^to++++=to
seven ^cd++++=seven
simple ^jj+atrb+++=simple
indicators ^nns++++=indicators
for ^in++++=for
decision ^nn++++=decision
making ^vwbg+++xvbg+=making.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
simple ^jj+atrb+++=simple
indicators ^nns++++=indicators
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
the ^ati++++=the
federative ^nn++++=federative
units ^nns++++=units
were ^vbd+bed+aux++=were
grouped ^xvbn+++xvbn+=grouped
by ^in++++=by
class ^nn++++=class.
. ^zz++++=EXTRAWORD
