The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
made ^vbd+++xvbn+=made
an ^at++++=an
evaluation ^nn++++=evaluation
of ^in++++=of
the ^ati++++=the
performances ^nns++++=performances
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Universities ^nns++++=Universities
in ^in++++=in
the ^ati++++=the
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
, ^zz++++=,
in ^in++++=in
the ^ati++++=the
range ^nn++++=range
from ^in++++=from
2017 ^cd++++=2017
to ^to++++=to
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
multidimensional ^nn+++??+=multidimensional
academic ^jj++++=academic
ranking ^jj+++xvbg+=ranking
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
important ^jj++++=important
in ^in++++=in
Brazil ^np++++=Brazil
nowadays ^rb+cnj+++=nowadays,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
inspiration ^nn++++=inspiration
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
method ^nn++++=method
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^md"++pmd"++=used
to ^to++++=to
evaluate ^vb++++=evaluate
the ^ati++++=the
post ^nn++++=post-graduate
- ^zz++++=EXTRAWORD
graduate ^nn++++=EXTRAWORD
system ^nn++++=system
in ^in++++=in
brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
by ^in++++=by
capes ^np++++=Capes.
. ^zz++++=EXTRAWORD
