Figure ^nn++++=Figure
2 ^zz++++=2
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
direct ^jj+atrb+++=direct
relationships ^nns++++=relationships
of ^in++++=of
the ^ati++++=the
structural ^jj+atrb+++=structural
model ^nn++++=model
were ^vbd+bed+vrb++=were
significant ^jj+pred+++=significant
and ^cc+phrs+++=and
caused ^jj+++xvbn+=caused
a ^at++++=a
positive ^jj+atrb+++=positive
impact ^nn++++=impact,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
path ^nn++++=path
coefficients ^nns++++=coefficients
assumed ^vwbn+++xvbn+=assumed
positive ^jj+atrb+++=positive
values ^nns++++=values.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
secondorder ^nn+++??+=secondorder
hierarchical ^nn+++??+=hierarchical
model ^nn++++=model,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
observe ^vbi+vprv+++=observe
that ^tht+vcmp+++=that
The ^ati++++=The
Fiscal ^jj+atrb+++=Fiscal
Council ^nn++++=Council
mentions ^vbz++++=mentions
Governance ^np+++??+=Governance
in ^in++++=in
a ^at++++=a
less ^rbr++++=less
pronounced ^jj+atrb++xvbn+=pronounced
way ^nn++++=way,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
path ^nn++++=path
coefficient ^nn++++=coefficient
of ^in++++=of
0.425 ^nn+++??+=0.425.
. ^zz++++=EXTRAWORD
Governance ^np+++??+=Governance
appears ^vbz+seem+++=appears
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
dimensions ^nns++++=dimensions
in ^in++++=in
a ^at++++=a
similar ^jj+atrb+++=similar
way ^nn++++=way
( ^zz++++=(between
between ^in++++=EXTRAWORD
0.631 ^nn+++??+=0.631
and ^cc++++=and
0.727 ^nn+++??+=0.727).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
may ^md+pos+++=may
occur ^vb++++=occur
because ^cs+cos+++=because
the ^ati++++=the
Fiscal ^jj+atrb+++=Fiscal
Council ^nn++++=Council,
, ^zz++++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
legal ^jj+atrb+++=legal
environment ^nn++++=environment
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
Npo ^np+++??+=NPO
( ^zz++++=(Brazilian
brazilian ^jj+atrb+++=EXTRAWORD
Npo ^np+++??+=NPO),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
mandatory ^jj+atrb+++=mandatory
body ^nn++++=body
for ^in++++=for
npo ^np++++=NPO
or ^cc++++=or
for ^in++++=for
the ^ati++++=the
companies ^nns++++=companies.
. ^zz++++=EXTRAWORD
