Two ^cd++++=Two
of ^in++++=of
the ^ati++++=the
species ^nn++++=species
of ^in++++=of
the ^ati++++=the
herpetofauna ^nn++++=herpetofauna
recorded ^vbd+vpub++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT
Hemidactylus ^np+++??+=Hemidactylus
mabouia ^nn+++??+=mabouia
and ^cc++++=and
Trachemys ^np+++??+=Trachemys
scripta ^nn+++??+=scripta
are ^vb+ber+vrb++=are
exotic ^jj+atrb+++=exotic
invaders ^nns+++??+=invaders.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^npl++++=house
gecko ^nn+++??+=gecko,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
mabouia ^nn+++??+=mabouia,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
originally ^rb+tm+splt++=originally
introduced ^vpsv++agls+xvbnx+=introduced
into ^in++++=into
Brazil ^np++++=Brazil
from ^in++++=from
Africa ^np++++=Africa
during ^in++++=during
the ^ati++++=the
colonial ^jj+atrb+++=colonial
period ^nn++++=period,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+aux++=has
since ^cs+sub+++=since
expanded ^vprf+++xvbn+=expanded
its ^pp$+it+++=its
area ^nn++++=area
of ^in++++=of
distribution ^nn++++=distribution
considerably ^rb++++=considerably
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
s ^zz++++=s
natural ^jj+atrb+++=natural
environments ^nns++++=environments
( ^zz++++=(Rocha
rocha ^nn+++??+=EXTRAWORD
& ^zz++++=&
Bergallo ^np+++??+=Bergallo
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
Telles ^np+++??+=Telles
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
Winck ^np+++??+=Winck
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hemidactylus ^np+++??+=Hemidactylus
mabouia ^nn+++??+=mabouia
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
built ^vbd+++xvbn+=built-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
areas ^nns++++=areas
of ^in++++=of
the ^ati++++=the
Pnt ^np+++??+=PNT,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
typical ^jj+pred+++=typical
of ^in++++=of
its ^pp$+it+++=its
occurrence ^nn++++=occurrence
at ^in++++=at
other ^ap++++=other
localities ^nns++++=localities
( ^zz++++=(Rocha
rocha ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
presence ^nn++++=presence
of ^in++++=of
this ^dt+dem+++=this
lizard ^nn+++??+=lizard
in ^in++++=in
the ^ati++++=the
vicinity ^nn++++=vicinity
of ^in++++=of
the ^ati++++=the
park ^npl++++=park
s ^zz++++=s
natural ^jj+atrb+++=natural
habitats ^nns+++??+=habitats
demands ^nns++++=demands
special ^jj+atrb+++=special
attention ^nn++++=attention
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
the ^ati++++=the
species ^nn++++=species
to ^to++++=to
become ^vbi++++=become
invasive ^nn++++=invasive
( ^zz++++=(Rocha
rocha ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
