Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
improve ^vbi++++=improve
agricultural ^jj+atrb+++=agricultural
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
preserve ^vb++++=preserve
soil ^nn++++=soil
health ^nn++++=health
and ^cc++++=and
quality ^nn++++=quality
and ^cc++++=and
specially ^rb++++=specially
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
phosphorus ^nns+++??+=phosphorus-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
chemical ^jj+atrb+++=chemical
inputs ^nns+++??+=inputs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
genera ^nns++++=genera
found ^vbd+vprv++xvbn+=found
in ^in++++=in
this ^dt+dem+++=this
research ^nn++++=research
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vbd+++xvbn+=used
in ^in++++=in
the ^ati++++=the
municipality ^nn++++=municipality
s ^zz++++=s
agricultural ^jj+atrb+++=agricultural
crops ^nns++++=crops.
. ^zz++++=EXTRAWORD
