Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
products ^nns++++=products
should ^md+nec+++=should
now ^rn+tm+++=now
be ^vb+be+aux++=be
replaced ^vpsv++by+xvbnx+=replaced
by ^in++++=by
natural ^jj+atrb+++=natural
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
present ^vb++++=present
a ^at++++=a
lower ^jjr+atrb+++=lower
degree ^nn++++=degree
of ^in++++=of
toxicity ^nn+++??+=toxicity,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
more ^rbr++++=more
economically ^rb++++=economically
viable ^jj++++=viable
and ^cc++++=and
more ^rbr++++=more
accessible ^jj++++=accessible
to ^in++++=to
the ^ati++++=the
population ^nn++++=population
( ^zz++++=(VOLKART;
volkart ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Spagiari ^np+++??+=SPAGIARI;
; ^zz++++=EXTRAWORD
Bizzani ^np+++??+=BIZZANI,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
N ^zz++++=N
Brega ^np+++??+=BREGA;
; ^zz++++=EXTRAWORD
Dantas ^np+++??+=DANTAS;
; ^zz++++=EXTRAWORD
Silva ^np+++??+=SILVA,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
species ^nn++++=species
of ^in++++=of
used ^xvbn+++xvbn+=used
plants ^nns++++=plants
is ^vbz+bez+vrb++=is
the ^ati++++=the
Libidibia ^np+++??+=Libidibia
ferrea ^nn+++??+=ferrea
( ^zz++++=(Febaceae)
febaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
natural ^jj+pred+++=natural
of ^in++++=of
the ^ati++++=the
Caatinga ^np+++??+=Caatinga
biome ^nn+++??+=biome
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
described ^vpsv++agls+xvbnx+=described
from ^in++++=from
the ^ati++++=the
Northeast ^np+++??+=Northeast
to ^in++++=to
the ^ati++++=the
South ^np+pl+++=South
of ^in++++=of
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
popularly ^rb++splt++=popularly
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
Pau ^np+++??+=Pau-ferro,
- ^zz++++=EXTRAWORD
ferro ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Pau ^np+++??+=Pau-ca
- ^zz++++=EXTRAWORD
ca ^np++++=EXTRAWORD
or ^cc++++=or
Juc ^np+++??+=Juc
( ^zz++++=(MOTA;
mota ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Ferreira ^np+++??+=FERREIRA;
; ^zz++++=EXTRAWORD
Ima ^np+++??+=IMA
A ^at++++=A,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Libidibia ^np+++??+=Libidibia
ferrea ^nn+++??+=ferrea
has ^vbz+hvz+vrb++=has
antifungal ^nn+++??+=antifungal,
, ^zz++++=EXTRAWORD
antibacterial ^nn+++??+=antibacterial,
, ^zz++++=EXTRAWORD
antiulcerogenic ^nn+++??+=antiulcerogenic,
, ^zz++++=EXTRAWORD
anti ^nn+++??+=anti-inflammatory,
- ^zz++++=EXTRAWORD
inflammatory ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
antidiabetic ^nn+++??+=antidiabetic,
, ^zz++++=EXTRAWORD
anti ^nn+++??+=anti-flu,
- ^zz++++=EXTRAWORD
flu ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
antitussive ^nn+++??+=antitussive,
, ^zz++++=EXTRAWORD
anti ^nn+++??+=anti-asthmatic,
- ^zz++++=EXTRAWORD
asthmatic ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
antianemia ^nn+++??+=antianemia,
, ^zz++++=EXTRAWORD
antidiarrheal ^nn+++??+=antidiarrheal,
, ^zz++++=EXTRAWORD
anticoagulant ^nn++++=anticoagulant,
, ^zz++++=EXTRAWORD
analgesic ^jj++++=analgesic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
healing ^nvbg+++xvbg+=healing
actions ^nns++++=actions.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
a ^at++++=a
larvicide ^nn+++??+=larvicide
against ^in++++=against
the ^ati++++=the
Aedes ^np+++??+=Aedes
aegypti ^nn+++??+=aegypti,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
indicated ^vpsv++agls+xvbnx+=indicated
for ^in++++=for
feeding ^xvbg+++xvbg+=feeding
animals ^nns++++=animals
as ^in++++=as
in ^in++++=in
sheep ^nn++++=sheep
and ^cc++++=and
goat ^nn++++=goat
farming ^vwbg+++xvbg+=farming,
, ^zz++++=EXTRAWORD
widely ^rb++++=widely
used ^vbd+++xvbn+=used
in ^in++++=in
rural ^jj+atrb+++=rural
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
difficulty ^nn++++=difficulty
of ^in++++=of
food ^nn++++=food
( ^zz++++=(GOMES
gomes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Moreira ^np+++??+=MOREIRA;
; ^zz++++=EXTRAWORD
Oliveira ^np+++??+=OLIVEIRA,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Reis ^np+++??+=REIS
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Pereira ^np+++??+=PEREIRA
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Hassan ^np+++??+=HASSAN
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Freitas ^np++++=FREITAS
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Magalh ^np+++??+=MAGALH
Es ^&fw++++=ES
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
V ^zz++++=V
Squez ^np+++??+=SQUEZ;
; ^zz++++=EXTRAWORD
Mendon ^np+++??+=MENDON
A ^at++++=A;
; ^zz++++=EXTRAWORD
Noda ^np+++??+=NODA,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Lima ^np++++=LIMA
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
vasconcelos ^np++++=VASCONCELOS
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
