Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
absence ^nn++++=absence
or ^cc++++=or
poor ^jj+atrb+++=poor
governance ^nn+++??+=governance
practices ^nns++++=practices
can ^md+pos+++=can
result ^vb++++=result
in ^in++++=in
donors ^nns++++=donors
reluctance ^nn++++=reluctance
to ^to+ncmp+++=to
contribute ^vbi++++=contribute
to ^in++++=to
Npo ^np+++??+=NPO.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Fisman ^np+++??+=Fisman
and ^cc++++=and
Hubbard ^np+++??+=Hubbard
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
poor ^jj+atrb+++=poor
governance ^nn+++??+=governance
leads ^vbz++++=leads
to ^in++++=to
a ^at++++=a
poor ^jj+atrb+++=poor
management ^nn++++=management
monitoring ^vwbg+++xvbg+=monitoring,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
giving ^xvbg+++xvbg+=giving
rise ^vb++++=rise
to ^in++++=to
agency ^nn++++=agency
costs ^nns++++=costs.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
R2 ^np+++??+=R2
of ^in++++=of
each ^ppls++++=each
endogenous ^vbz+++??+=endogenous
latent ^jj+atrb+++=latent
variable ^nn++++=variable,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
measure ^nn++++=measure
of ^in++++=of
the ^ati++++=the
model ^nn++++=model
s ^zz++++=s
accuracy ^nn++++=accuracy.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
mention ^vbi+vpub+++=mention
that ^tht+vcmp+++=that
R2 ^np+++??+=R2
of ^in++++=of
the ^ati++++=the
latent ^jj+atrb+++=latent
variable ^nn++++=variable
of ^in++++=of
the ^ati++++=the
first ^od++++=first
order ^to++++=order
reflective ^jj++++=reflective
construct ^vb++++=construct
indicates ^vbz+vpub+++=indicates
how ^wrb+who+whcl++=how
much ^rb++++=much
this ^dt+dem+++=this
latent ^jj+atrb+++=latent
variable ^nn++++=variable
is ^vbz+bez+vrb++=is
a ^at++++=a
sign ^nn++++=sign
of ^in++++=of
the ^ati++++=the
latent ^jj+atrb+++=latent
variable ^nn++++=variable
of ^in++++=of
the ^ati++++=the
second ^od++++=second-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
construct ^vb++++=construct
and ^cc++++=and,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
analyzed ^nn+++??+=analyzed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
also ^rb++++=also
generates ^nns++++=generates
paths ^nns++++=paths
in ^in++++=in
the ^ati++++=the
structural ^jj+atrb+++=structural
model ^nn++++=model.
. ^zz++++=EXTRAWORD
