Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
brought ^vbd+++xvbn+=brought
the ^ati++++=the
assumptions ^nns++++=assumptions
and ^cc++++=and
concepts ^nns++++=concepts
of ^in++++=of
agency ^nn++++=agency
theory ^nn++++=theory
to ^in++++=to
the ^ati++++=the
nonprofit ^nn+++??+=nonprofit
environment ^nn++++=environment,
, ^zz++++=EXTRAWORD
to ^to++++=to
discuss ^vbi++++=discuss
the ^ati++++=the
conflicts ^nns++++=conflicts
between ^in++++=between
principal ^jjb++++=principal
and ^cc++++=and
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
focusing ^nn+++??+=focusing
on ^in++++=on
the ^ati++++=the
agency ^nn++++=agency
relationship ^nn++++=relationship
observed ^vbd+++xvbn+=observed
in ^in++++=in
hiring ^nn+++??+=hiring
the ^ati++++=the
Npo ^np+++??+=NPO
( ^zz++++=(agent)
agent ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
donor ^nn++++=donor
( ^zz++++=(principal),
principal ^jjb++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
transferring ^vbg+++xvbg+=transferring
donations ^nns++++=donations
with ^in++++=with
donor ^nn++++=donor
restrictions ^nns++++=restrictions.
. ^zz++++=EXTRAWORD
