Medeiros ^np+++??+=Medeiros
Junior ^jj++++=Junior
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
proposes ^vbz+vsua+++=proposes
all ^rb++++=all
free ^jj+atrb+++=free
relatives ^nns++++=relatives
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn++++=Portuguese
are ^vb+ber+vrb++=are
of ^in++++=of
the ^ati++++=the
type ^nn++++=type
whever ^nn+++??+=whever,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
its ^pp$+it+++=its
semantic ^jj+atrb+++=semantic
content ^nn++++=content.
. ^zz++++=EXTRAWORD
The ^ati++++=The
author ^nn++++=author
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
the ^ati++++=the
wh ^nn+++??+=wh-words
- ^zz++++=EXTRAWORD
words ^nns++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
constructions ^nns++++=constructions
are ^vb+ber+vrb++=are
complex ^jj+atrb+++=complex
morphological ^jj+atrb+++=morphological
items ^nns++++=items
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
an ^at++++=an
intricate ^jj+atrb+++=intricate
syntactic ^jj+atrb+++=syntactic
operation ^nn++++=operation
of ^in++++=of
head ^jjb+atrb+++=head
incorporation ^nn++++=incorporation
of ^in++++=of
D ^zz++++=D
into ^in++++=into
C ^zz++++=C,
, ^zz++++=EXTRAWORD
triggered ^xvbn+++xvbn+=triggered
by ^in++++=by
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
a ^at++++=a
null ^jj++++=null
- ^zz++++=-ever
ever ^rb++++=EXTRAWORD
suffix ^nn++++=suffix
in ^in++++=in
D ^zz++++=D;
; ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
language ^nn++++=language,
, ^zz++++=EXTRAWORD
wh ^nn+++??+=wh-words
- ^zz++++=EXTRAWORD
words ^nns++++=EXTRAWORD
in ^in++++=in
free ^jj+atrb+++=free
relatives ^nns++++=relatives
bare ^jj+atrb+++=bare
universal ^jj+atrb+++=universal
interpretation ^nn++++=interpretation.
. ^zz++++=EXTRAWORD
Free ^jj+atrb+++=Free
relatives ^nns++++=relatives
universal ^jj+atrb+++=universal
semantics ^nn++++=semantics
in ^in++++=in
Bp ^np+++??+=BP
would ^md+prd+++=would
then ^rn+tm+++=then
be ^vb+be+vrb++=be
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
its ^pp$+it+++=its
syntactic ^jj+atrb+++=syntactic
derivation ^nn++++=derivation,
, ^zz++++=EXTRAWORD
demonstrated ^vpsv++by+xvbn+=demonstrated
by ^in++++=by
the ^ati++++=the
diagram ^nn++++=diagram
in ^in++++=in
( ^zz++++=(46)9:
46)9 ^cd++++=EXTRAWORD
: ^zz++++=EXTRAWORD
