Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
examined ^vbd+++xvbn+=examined
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
include ^vb++++=include
the ^ati++++=the
control ^nn++++=control
variable ^jj+atrb+++=variable
Npo ^np+++??+=NPO
age ^nn++++=age
in ^in++++=in
the ^ati++++=the
model ^nn++++=model,
, ^zz++++=EXTRAWORD
assuming ^vbg+vprv++xvbg+=assuming
that ^tht+vcmp+++=that
Npo ^np+++??+=NPO
need ^nn++++=need
time ^nn++++=time
to ^to++++=to
operate ^vbi++++=operate
and ^cc+phrs+++=and
implement ^vb++++=implement
governance ^jj+atrb++??+=governance
practices ^nns++++=practices
( ^zz++++=(Saxton,
saxton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
neely ^np++++=Neely
& ^zz++++=&
guo ^np++++=Guo,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
