Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Sarstedt ^np+++??+=Sarstedt,
, ^zz++++=EXTRAWORD
Hair ^nn++++=Hair,
, ^zz++++=EXTRAWORD
Cheah ^np+++??+=Cheah,
, ^zz++++=EXTRAWORD
Becker ^np+++??+=Becker
& ^zz++++=&
Ringle ^np+++??+=Ringle
( ^zz++++=(2019),
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
assessing ^vbg+++xvbg+=assessing
the ^ati++++=the
measurement ^nn++++=measurement
model ^nn++++=model
of ^in++++=of
the ^ati++++=the
higher ^jjr++++=higher-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
construct ^vb++++=construct,
, ^zz++++=EXTRAWORD
represented ^xvbn+++xvbn+=represented
by ^in++++=by
the ^ati++++=the
relationships ^nns++++=relationships
between ^in++++=between
the ^ati++++=the
higher ^jjr++++=higher-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
component ^nn++++=component
and ^cc++++=and
its ^pp$+it+++=its
lower ^jjr++++=lower-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
components ^nns++++=components:
: ^zz++++=EXTRAWORD
unidimensionality ^nn+++??+=unidimensionality
( ^zz++++=(Cronbach
cronbach ^nn+++??+=EXTRAWORD
s ^zz++++=s
alpha ^nn++++=alpha
between ^in++++=between
0.7 ^nn+++??+=0.7
and ^cc++++=and
0.9 ^nn+++??+=0.9,
, ^zz++++=EXTRAWORD
Dillon ^np++++=Dillon-Goldstein
- ^zz++++=EXTRAWORD
goldstein ^nn+++??+=EXTRAWORD
s ^zz++++=s
rho ^nn++++=rho
between ^in++++=between
0.7 ^nn+++??+=0.7
and ^cc++++=and
0.9 ^nn+++??+=0.9,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dominance ^nn++++=dominance
of ^in++++=of
the ^ati++++=the
first ^od++++=first
eigenvalue ^nn++++=eigenvalue),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
convergent ^nn+++??+=convergent
validity ^nn++++=validity
( ^zz++++=(outer
outer ^jjb+atrb+++=EXTRAWORD
loadings ^nns++++=loadings
higher ^jjr++++=higher
than ^in++++=than
0.7 ^nn+++??+=0.7,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
average ^jj+atrb+++=average
variance ^nn++++=variance
extracted ^vwbn+++xvbn+=extracted
higher ^jjr++++=higher
than ^in++++=than
0.5 ^nn+++??+=0.5)
) ^zz++++=EXTRAWORD
and ^cc++++=and
discriminant ^jj+atrb++??+=discriminant
validity ^nn++++=validity
( ^zz++++=(outer
outer ^jjb+atrb+++=EXTRAWORD
loadings ^nns++++=loadings
on ^in++++=on
a ^at++++=a
construct ^vb++++=construct
higher ^jjr++++=higher
than ^in++++=than
all ^abn++++=all
its ^pp$+it+++=its
cross ^jj+atrb+++=cross
loadings ^nns++++=loadings
with ^in++++=with
other ^ap++++=other
constructs ^vbz++++=constructs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
square ^jj+atrb+++=square
root ^nn++++=root
of ^in++++=of
the ^ati++++=the
average ^jj+atrb+++=average
variance ^nn++++=variance
extracted ^vwbn+++xvbn+=extracted
of ^in++++=of
each ^dt++++=each
construct ^vb++++=construct
higher ^jjr++++=higher
than ^in++++=than
its ^pp$+it+++=its
highest ^jjt+atrb+++=highest
correlation ^nn++++=correlation
with ^in++++=with
any ^dti++++=any
other ^ap++++=other
construct ^vb++++=construct
fornell ^np++++=Fornell-Larcker
- ^zz++++=EXTRAWORD
larcker ^nn++++=EXTRAWORD
criterion ^np++++=criterion).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
