3 ^zz++++=3.
. ^zz++++=EXTRAWORD
Deal ^nn++++=Deal
fairly ^rb++++=fairly
with ^in++++=with
professional ^jj+atrb+++=professional
writers ^nns++++=writers:
: ^zz++++=EXTRAWORD
The ^ati++++=The
third ^od++++=third
step ^vb++++=step
applies ^vbz++++=applies
to ^in++++=to
media ^nns++++=media
articles ^nns++++=articles
and ^cc++++=and
trade ^nn++++=trade
book ^nn++++=book
chapters ^nns++++=chapters
( ^zz++++=(including
including ^in++++=EXTRAWORD
poetry ^nn++++=poetry)
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
not ^xnot++not++=not
licensed ^jj++++=licensed
by ^in++++=by
the ^ati++++=the
institution ^nn++++=institution.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
largely ^rb++++=largely
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
professional ^jj+atrb+++=professional
writers ^nns++++=writers
and ^cc++++=and
their ^pp$+pp3+++=their
publishers ^nns++++=publishers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
whom ^whp+wpor+++=whom,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
hold ^nn++++=hold,
, ^zz++++=EXTRAWORD
royalties ^nns++++=royalties
should ^md+nec+++=should
be ^vb+be+aux++=be
paid ^vpsv++agls+xvbnx+=paid.
. ^zz++++=EXTRAWORD
After ^in++++=After
all ^abn++++=all,
, ^zz++++=EXTRAWORD
university ^npl++++=university
faculty ^nn++++=faculty
assign ^vb++++=assign
these ^dt+dem+++=these
works ^nns++++=works
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
essential ^jj++++=essential
to ^to+jcmp+++=to
achieving ^vbg+++xvbg+=achieving
their ^pp$+pp3+++=their
own ^ap++++=own
and ^cc++++=and
their ^pp$+pp3+++=their
institution ^nn++++=institution
s ^zz++++=s
instructional ^jj+atrb+++=instructional
goals ^nns++++=goals.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
academic ^jj+atrb+++=academic
authors ^nns++++=authors
benefit ^nn++++=benefit
from ^in++++=from
the ^ati++++=the
reputational ^nn+++??+=reputational
gain ^vb++++=gain,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
professional ^jj+atrb+++=professional
authors ^nns++++=authors
are ^vb+ber+vrb++=are
not ^xnot++not++=not
less ^ql++++=less
deserving ^jj+++xvbg+=deserving
of ^in++++=of
recognition ^nn++++=recognition,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
being ^xvbg+++xvbg+=being
subject ^nn++++=subject
to ^in++++=to
a ^at++++=a
fair ^jj++++=fair-dealing
- ^zz++++=EXTRAWORD
dealing ^vbg+++xvbg+=EXTRAWORD
blanket ^nn++++=blanket
exception ^nn++++=exception
for ^in++++=for
this ^dt+dem+++=this
million ^cd++++=million-student
- ^zz++++=EXTRAWORD
student ^nn++++=EXTRAWORD
market ^nn++++=market
in ^in++++=in
Canada ^np++++=Canada
( ^zz++++=(with
with ^in++++=EXTRAWORD
more ^rbr++++=more
on ^in++++=on
the ^ati++++=the
financial ^jj++++=financial
and ^cc+phrs+++=and
existential ^jj+atrb+++=existential
substantial ^jj+atrb+++=substantial
adverse ^jj+atrb+++=adverse
effect ^nn++++=effect
below ^in+pl+++=below).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
