Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
notions ^nns++++=notions
of ^in++++=of
learning ^xvbg+++xvbg+=learning
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
life ^nn++++=life
, ^zz++++=,
flexibility ^nn++++=flexibility
and ^cc++++=and
accessibility ^nn++++=accessibility
in ^in++++=in
time ^nn++++=time
and ^cc++++=and
space ^nn++++=space
are ^vb+ber+vrb++=are
grounding ^nn++++=grounding
ideas ^nns++++=ideas
and ^cc++++=and
tributary ^jj++++=tributary
of ^in++++=of
Unesco ^np+++??+=UNESCO
s ^zz++++=s
report ^vb++++=report,
, ^zz++++=EXTRAWORD
informing ^vbg+++xvbg+=informing
the ^ati++++=the
elaboration ^nn++++=elaboration
of ^in++++=of
the ^ati++++=the
Ldben ^np+++??+=LDBEN.
. ^zz++++=EXTRAWORD
The ^ati++++=The
report ^nn++++=report
Learning ^vwbg+vprv++xvbg+=Learning:
: ^zz++++=EXTRAWORD
the ^ati++++=the
treasure ^nn++++=treasure
within ^in+strn+++=within,
, ^zz++++=EXTRAWORD
organized ^xvbn+++xvbn+=organized
by ^in++++=by
Delors ^np+++??+=Delors
( ^zz++++=(1998,
1998 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
110 ^cd++++=110),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
states ^nns++++=states:
: ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
must ^md+nec+++=must
imagine ^vb+vprv+++=imagine
innovative ^jj+atrb++??+=innovative
concepts ^nns++++=concepts
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
work ^nn++++=work
time ^nn++++=time
that ^tht+rel+subj++=that
take ^vb++++=take
into ^in++++=into
account ^nn++++=account
the ^ati++++=the
workers ^nns++++=workers
individual ^jj+atrb+++=individual
preferences ^nns++++=preferences,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
enterprises ^nns++++=enterprises
flexibility ^nn++++=flexibility
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
