The ^ati++++=The
findings ^nns++++=findings
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
significant ^jj+atrb+++=significant
reduction ^nn++++=reduction
in ^in++++=in
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
medical ^jj+atrb+++=medical
appointments ^nns++++=appointments
and ^cc++++=and
the ^ati++++=the
performance ^nn++++=performance
of ^in++++=of
procedures ^nns++++=procedures
involving ^vwbg+++xvbg+=involving
prenatal ^nn+++??+=prenatal
and ^cc++++=and
diabetes ^nn++++=diabetes
care ^nn++++=care
between ^in++++=between
the ^ati++++=the
periods ^nns++++=periods
compared ^vbd+++xvbn+=compared.
. ^zz++++=EXTRAWORD
Considering ^vbg+++xvbg+=Considering
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
all ^abn++++=all
months ^nns++++=months
( ^zz++++=(from
from ^in++++=EXTRAWORD
February ^nr++++=February
to ^in++++=to
December ^nr++++=December)
) ^zz++++=EXTRAWORD
witnessed ^vprf+++xvbn+=witnessed
a ^at++++=a
decrease ^nn++++=decrease
in ^in++++=in
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
may ^md+pos+++=may
be ^vb+be+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
the ^ati++++=the
large ^jj+atrb+++=large
number ^nn++++=number
of ^in++++=of
health ^nn++++=health
professionals ^nns++++=professionals
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
redeployed ^vpsv++agls+xvbnx+=redeployed
to ^to++++=to
combat ^vbi++++=combat
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
mention ^vbi+vpub+++=mention
that ^tht+vcmp+++=that
health ^nn++++=health
professionals ^nns++++=professionals
run ^vbd+++xvbn+=run
a ^at++++=a
higher ^jjr+atrb+++=higher
risk ^nn++++=risk
of ^in++++=of
contracting ^xvbg+++xvbg+=contracting
Sars ^np+++??+=Sars-Covid-19
- ^zz++++=EXTRAWORD
covid ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
than ^in++++=than
the ^ati++++=the
general ^jj++++=general
public ^jj++++=public
and ^cc++++=and,
, ^zz++++=EXTRAWORD
consequently ^rb+cnj+++=consequently,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
unable ^jj++++=unable
to ^to+jcmp+++=to
work.12 ^vb+++??+=work.12
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fear ^nn++++=fear
of ^in++++=of
contamination ^nn++++=contamination
has ^vbz+hvz+aux++=has
caused ^vprf+++xvbnx+=caused
individuals ^nns++++=individuals
to ^to++++=to
seek ^vbi++++=seek
health ^nn++++=health
services ^nns++++=services
less ^rbr++++=less
frequently ^rb+cnj+++=frequently,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
emergency ^nn++++=emergency
situations ^nns++++=situations.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
elective ^nn+++??+=elective
treatments ^nns++++=treatments
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
postponed ^vpsv++agls+xvbnx+=postponed.
. ^zz++++=EXTRAWORD
13 ^cd++++=13
To ^in++++=To
corroborate ^nn+++??+=corroborate
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
no ^at++++=no
organized ^jj+atrb++xvbn+=organized
action ^nn++++=action
by ^in++++=by
Phc ^np+++??+=PHC
to ^to++++=to
confront ^vbi++++=confront
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
implemented ^vpsv++agls+xvbnx+=implemented
at ^rb++++=at
the ^ati++++=the
national ^jj+atrb+++=national
level ^nn++++=level
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
monitoring ^nvbg+++xvbg+=monitoring
and ^cc++++=and
control ^nn++++=control
actions ^nns++++=actions
have ^vb+hv+aux++=have
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
directed ^vpsv++agls+xvbnx+=directed
towards ^in++++=towards
people ^nns++++=people
with ^in++++=with
health ^nn++++=health
conditions ^nns++++=conditions
that ^tht+rel+obj++=that
need ^nn++++=need
assistance ^nn++++=assistance
on ^in++++=on
an ^at++++=an
ongoing ^nn+++??+=ongoing
basis ^nn++++=basis.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
may ^md+pos+++=may
be ^vb+be+vrb++=be
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
reasons ^nns++++=reasons
for ^in++++=for
the ^ati++++=the
results ^nns++++=results
observed ^jj++++=observed
in ^in++++=in
this ^dt+dem+++=this
study.12 ^nn++++=study.12
